GemeindeID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,7.0,10.0,8.0,4.0,15.0,6.0,11.0,8.0,10.0
2,6.0,24.0,16.0,15.0,31.0,24.0,24.0,34.0,33.0,41.0,56.0,71.0,74.0,87.0,66.0,137.0,122.0,150.0,109.0,106.0,49.0,55.0,83.0,49.0,55.0
3,3.0,3.0,5.0,3.0,10.0,7.0,8.0,14.0,3.0,11.0,13.0,13.0,14.0,14.0,21.0,23.0,22.0,22.0,31.0,15.0,24.0,17.0,17.0,26.0,18.0
4,0.0,3.0,4.0,4.0,8.0,13.0,7.0,5.0,14.0,10.0,1.0,28.0,18.0,0.0,8.0,13.0,8.0,16.0,12.0,10.0,3.0,20.0,6.0,3.0,21.0
5,1.0,4.0,3.0,3.0,7.0,8.0,13.0,4.0,2.0,16.0,3.0,9.0,17.0,16.0,35.0,20.0,21.0,31.0,19.0,37.0,8.0,16.0,14.0,9.0,34.0
6,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,5.0,7.0
7,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,4.0,4.0,5.0,5.0,7.0,9.0,9.0,4.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0
8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,3.0
9,3.0,5.0,5.0,4.0,1.0,7.0,5.0,8.0,3.0,20.0,9.0,7.0,13.0,16.0,6.0,37.0,3.0,9.0,16.0,10.0,16.0,12.0,26.0,19.0,20.0
10,1.0,7.0,2.0,9.0,11.0,7.0,7.0,8.0,7.0,17.0,29.0,12.0,22.0,22.0,27.0,17.0,33.0,39.0,14.0,23.0,19.0,32.0,21.0,27.0,25.0
11,2.0,1.0,6.0,1.0,3.0,4.0,7.0,7.0,2.0,11.0,2.0,7.0,6.0,3.0,9.0,3.0,11.0,2.0,6.0,7.0,12.0,9.0,10.0,10.0,10.0
12,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0
13,1.0,3.0,3.0,7.0,0.0,1.0,9.0,5.0,1.0,16.0,4.0,10.0,10.0,3.0,10.0,10.0,15.0,12.0,17.0,15.0,23.0,20.0,14.0,16.0,22.0
14,6.0,9.0,8.0,4.0,6.0,13.0,4.0,12.0,10.0,17.0,7.0,12.0,10.0,18.0,12.0,6.0,20.0,20.0,19.0,12.0,33.0,18.0,22.0,17.0,37.0
21,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,3.0,9.0,1.0,1.0,0.0,8.0,1.0,5.0,2.0
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0
25,0.0,1.0,1.0,0.0,2.0,5.0,0.0,2.0,1.0,2.0,1.0,2.0,7.0,0.0,3.0,4.0,3.0,9.0,16.0,5.0,5.0,1.0,0.0,4.0,5.0
26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,2.0,2.0,2.0,3.0,5.0,1.0,0.0,10.0,0.0,3.0,3.0,0.0
27,2.0,2.0,8.0,4.0,7.0,10.0,5.0,4.0,3.0,8.0,15.0,14.0,8.0,17.0,17.0,18.0,21.0,13.0,28.0,15.0,14.0,16.0,12.0,4.0,22.0
28,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,4.0,1.0,6.0,1.0,0.0,2.0,1.0,2.0,6.0,6.0,1.0,0.0,1.0
29,3.0,1.0,4.0,2.0,1.0,1.0,0.0,6.0,0.0,6.0,2.0,7.0,6.0,6.0,3.0,5.0,3.0,9.0,6.0,11.0,5.0,3.0,5.0,3.0,8.0
30,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,18.0,14.0,10.0,3.0,6.0,5.0,13.0,13.0,1.0,5.0,4.0,6.0,7.0,9.0
31,1.0,2.0,1.0,2.0,0.0,6.0,1.0,4.0,2.0,9.0,2.0,3.0,7.0,0.0,3.0,3.0,3.0,6.0,9.0,3.0,4.0,12.0,1.0,11.0,0.0
32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,2.0,2.0,0.0,1.0,9.0,6.0,2.0,1.0,7.0,7.0,12.0,9.0,7.0,15.0,6.0,3.0,13.0,8.0,4.0,3.0,3.0,10.0,3.0,4.0
34,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,5.0,4.0,1.0,7.0,4.0,4.0,6.0,2.0,2.0,5.0,10.0,8.0,3.0,2.0,3.0,2.0
35,0.0,0.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,4.0,1.0,7.0,5.0,3.0,4.0,1.0,7.0,3.0,1.0,2.0,5.0
36,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
37,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,6.0,1.0,1.0,14.0,6.0,9.0,5.0,2.0,1.0,3.0,4.0
38,1.0,2.0,0.0,3.0,6.0,8.0,6.0,7.0,5.0,5.0,14.0,11.0,5.0,2.0,5.0,3.0,15.0,12.0,6.0,5.0,2.0,7.0,0.0,2.0,10.0
39,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,6.0,4.0,1.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,3.0
40,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
41,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,6.0,0.0,4.0,0.0
42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,7.0,2.0,0.0,2.0,0.0
43,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,1.0,3.0,3.0
51,7.0,6.0,23.0,23.0,18.0,41.0,23.0,30.0,34.0,29.0,56.0,32.0,32.0,25.0,29.0,36.0,43.0,32.0,41.0,18.0,20.0,23.0,20.0,26.0,15.0
52,5.0,16.0,16.0,14.0,13.0,28.0,38.0,49.0,52.0,33.0,31.0,41.0,46.0,52.0,34.0,27.0,29.0,70.0,56.0,57.0,71.0,64.0,75.0,58.0,70.0
53,25.0,19.0,56.0,64.0,82.0,71.0,66.0,79.0,122.0,168.0,130.0,121.0,106.0,133.0,141.0,156.0,172.0,215.0,95.0,102.0,107.0,111.0,70.0,88.0,79.0
54,2.0,13.0,21.0,13.0,21.0,36.0,24.0,30.0,26.0,62.0,59.0,48.0,93.0,38.0,59.0,99.0,60.0,38.0,98.0,65.0,48.0,24.0,49.0,23.0,43.0
55,1.0,1.0,6.0,1.0,5.0,6.0,5.0,0.0,0.0,4.0,11.0,21.0,19.0,25.0,4.0,11.0,14.0,14.0,15.0,31.0,11.0,25.0,7.0,20.0,12.0
56,6.0,13.0,25.0,27.0,38.0,46.0,46.0,39.0,31.0,50.0,38.0,46.0,60.0,52.0,90.0,126.0,100.0,68.0,55.0,44.0,34.0,63.0,38.0,31.0,56.0
57,3.0,3.0,3.0,11.0,1.0,1.0,2.0,6.0,2.0,1.0,6.0,1.0,11.0,6.0,3.0,5.0,13.0,10.0,2.0,11.0,5.0,10.0,8.0,10.0,4.0
58,7.0,8.0,3.0,4.0,11.0,10.0,5.0,14.0,14.0,22.0,19.0,22.0,10.0,22.0,28.0,19.0,27.0,22.0,19.0,18.0,19.0,13.0,30.0,23.0,17.0
59,1.0,1.0,3.0,2.0,4.0,5.0,2.0,7.0,4.0,8.0,1.0,7.0,1.0,4.0,6.0,9.0,8.0,13.0,7.0,20.0,4.0,9.0,8.0,2.0,12.0
60,0.0,0.0,4.0,3.0,12.0,21.0,21.0,28.0,14.0,24.0,24.0,22.0,23.0,39.0,14.0,20.0,40.0,29.0,42.0,24.0,14.0,17.0,21.0,13.0,16.0
61,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,2.0,6.0,3.0,2.0,5.0,9.0,5.0,9.0
62,23.0,36.0,74.0,69.0,109.0,94.0,103.0,114.0,107.0,128.0,166.0,165.0,168.0,221.0,167.0,166.0,124.0,154.0,192.0,144.0,92.0,92.0,131.0,126.0,174.0
63,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,6.0,4.0,2.0,0.0,0.0,10.0,3.0,10.0,9.0,7.0,24.0,14.0,13.0,8.0
64,3.0,13.0,5.0,2.0,6.0,5.0,13.0,18.0,11.0,24.0,11.0,22.0,20.0,14.0,8.0,33.0,10.0,21.0,24.0,16.0,8.0,11.0,9.0,18.0,26.0
65,0.0,3.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,7.0,0.0,2.0
66,9.0,43.0,34.0,62.0,51.0,83.0,68.0,81.0,61.0,108.0,80.0,152.0,114.0,143.0,157.0,144.0,160.0,175.0,196.0,162.0,147.0,143.0,142.0,178.0,200.0
67,2.0,2.0,1.0,3.0,10.0,2.0,5.0,8.0,15.0,15.0,17.0,23.0,36.0,32.0,9.0,12.0,13.0,16.0,28.0,29.0,20.0,23.0,19.0,22.0,21.0
68,1.0,2.0,6.0,3.0,1.0,8.0,5.0,4.0,12.0,10.0,16.0,19.0,8.0,18.0,21.0,14.0,8.0,10.0,18.0,5.0,4.0,14.0,19.0,4.0,9.0
