,GemeindeID,Gemeindename
3,1,Aeugst am Albis
4,2,Affoltern am Albis
5,3,Bonstetten
6,4,Hausen am Albis
7,5,Hedingen
8,6,Kappel am Albis
9,7,Knonau
10,8,Maschwanden
11,9,Mettmenstetten
12,10,Obfelden
13,11,Ottenbach
14,12,Rifferswil
15,13,Stallikon
16,14,Wettswil am Albis
18,21,Adlikon
19,22,Benken (ZH)
20,23,Berg am Irchel
21,24,Buch am Irchel
22,25,Dachsen
23,26,Dorf
24,27,Feuerthalen
25,28,Flaach
26,29,Flurlingen
27,30,Andelfingen
28,31,Henggart
29,32,Humlikon
30,33,Kleinandelfingen
31,34,Laufen-Uhwiesen
32,35,Marthalen
33,36,Oberstammheim
34,37,Ossingen
35,38,Rheinau
36,39,Thalheim an der Thur
37,40,Trüllikon
38,41,Truttikon
39,42,Unterstammheim
40,43,Volken
41,44,Waltalingen
43,51,Bachenbülach
44,52,Bassersdorf
45,53,Bülach
46,54,Dietlikon
47,55,Eglisau
48,56,Embrach
49,57,Freienstein-Teufen
50,58,Glattfelden
51,59,Hochfelden
52,60,Höri
53,61,Hüntwangen
54,62,Kloten
55,63,Lufingen
56,64,Nürensdorf
57,65,Oberembrach
58,66,Opfikon
59,67,Rafz
60,68,Rorbas
61,69,Wallisellen
62,70,Wasterkingen
63,71,Wil (ZH)
64,72,Winkel
66,81,Bachs
67,82,Boppelsen
68,83,Buchs (ZH)
69,84,Dällikon
70,85,Dänikon
71,86,Dielsdorf
72,87,Hüttikon
73,88,Neerach
74,89,Niederglatt
75,90,Niederhasli
76,91,Niederweningen
77,92,Oberglatt
78,93,Oberweningen
79,94,Otelfingen
80,95,Regensberg
81,96,Regensdorf
82,97,Rümlang
83,98,Schleinikon
84,99,Schöfflisdorf
85,100,Stadel
86,101,Steinmaur
87,102,Weiach
89,111,Bäretswil
90,112,Bubikon
91,113,Dürnten
92,114,Fischenthal
93,115,Gossau (ZH)
94,116,Grüningen
95,117,Hinwil
96,118,Rüti (ZH)
97,119,Seegräben
98,120,Wald (ZH)
99,121,Wetzikon (ZH)
101,131,Adliswil
102,132,Hirzel
103,133,Horgen
104,134,Hütten
105,135,Kilchberg (ZH)
106,136,Langnau am Albis
107,137,Oberrieden
108,138,Richterswil
109,139,Rüschlikon
110,140,Schönenberg (ZH)
111,141,Thalwil
112,142,Wädenswil
114,151,Erlenbach (ZH)
115,152,Herrliberg
116,153,Hombrechtikon
117,154,Küsnacht (ZH)
118,155,Männedorf
119,156,Meilen
120,157,Oetwil am See
121,158,Stäfa
122,159,Uetikon am See
123,160,Zumikon
124,161,Zollikon
126,172,Fehraltorf
127,173,Hittnau
128,174,Illnau-Effretikon
129,175,Kyburg
130,176,Lindau
131,177,Pfäffikon
132,178,Russikon
133,180,Weisslingen
134,181,Wila
135,182,Wildberg
136,297,Bauma
138,191,Dübendorf
139,192,Egg
140,193,Fällanden
141,194,Greifensee
142,195,Maur
143,196,Mönchaltorf
144,197,Schwerzenbach
145,198,Uster
146,199,Volketswil
147,200,Wangen-Brüttisellen
149,211,Altikon
150,213,Brütten
151,214,Dägerlen
152,215,Dättlikon
153,216,Dinhard
154,217,Elgg
155,218,Ellikon an der Thur
156,219,Elsau
157,220,Hagenbuch
158,221,Hettlingen
159,222,Hofstetten (ZH)
160,223,Neftenbach
161,224,Pfungen
162,225,Rickenbach (ZH)
163,226,Schlatt (ZH)
164,227,Seuzach
165,228,Turbenthal
166,230,Winterthur
167,231,Zell (ZH)
168,298,Wiesendangen
170,241,Aesch (ZH)
171,242,Birmensdorf (ZH)
172,243,Dietikon
173,244,Geroldswil
174,245,Oberengstringen
175,246,Oetwil an der Limmat
176,247,Schlieren
177,248,Uitikon
178,249,Unterengstringen
179,250,Urdorf
180,251,Weiningen (ZH)
182,261,Zürich
185,431,Corgémont
186,432,Cormoret
187,433,Cortébert
188,434,Courtelary
189,435,La Ferrière
190,437,Mont-Tramelan
191,438,Orvin
192,441,Renan (BE)
193,442,Romont (BE)
194,443,Saint-Imier
195,444,Sonceboz-Sombeval
196,445,Sonvilier
197,446,Tramelan
198,448,Villeret
199,449,Sauge
200,450,Péry-La Heutte
201,681,Belprahon
202,683,Champoz
203,687,Corcelles (BE)
204,690,Court
205,691,Crémines
206,692,Eschert
207,694,Grandval
208,696,Loveresse
209,700,Moutier
210,701,Perrefitte
211,703,Reconvilier
212,704,Roches (BE)
213,706,Saicourt
214,707,Saules (BE)
215,708,Schelten
216,709,Seehof
217,711,Sorvilier
218,713,Tavannes
219,715,Rebévelier
220,716,Petit-Val
221,717,Valbirse
222,723,La Neuveville
223,724,Nods
224,726,Plateau de Diesse
226,371,Biel/Bienne
227,372,Evilard
228,387,Lengnau (BE)
229,390,Meinisberg
230,392,Pieterlen
231,731,Aegerten
232,732,Bellmund
233,733,Brügg
234,739,Ipsach
235,740,Ligerz
236,742,Mörigen
237,743,Nidau
238,744,Orpund
239,745,Port
240,746,Safnern
241,747,Scheuren
242,748,Schwadernau
243,750,Sutz-Lattrigen
244,756,Twann-Tüscherz
246,301,Aarberg
247,302,Bargen (BE)
248,303,Grossaffoltern
249,304,Kallnach
250,305,Kappelen
251,306,Lyss
252,309,Radelfingen
253,310,Rapperswil (BE)
254,311,Schüpfen
255,312,Seedorf (BE)
256,381,Arch
257,382,Büetigen
258,383,Büren an der Aare
259,385,Diessbach bei Büren
260,386,Dotzigen
261,388,Leuzigen
262,389,Meienried
263,391,Oberwil bei Büren
264,393,Rüti bei Büren
265,394,Wengi
266,491,Brüttelen
267,492,Erlach
268,493,Finsterhennen
269,494,Gals
270,495,Gampelen
271,496,Ins
272,497,Lüscherz
273,498,Müntschemier
274,499,Siselen
275,500,Treiten
276,501,Tschugg
277,502,Vinelz
278,532,Bangerten
279,734,Bühl
280,735,Epsach
281,736,Hagneck
282,737,Hermrigen
283,738,Jens
284,741,Merzligen
285,749,Studen (BE)
286,751,Täuffelen
287,754,Walperswil
288,755,Worben
290,321,Aarwangen
291,322,Auswil
292,323,Bannwil
293,324,Bleienbach
294,325,Busswil bei Melchnau
295,326,Gondiswil
296,329,Langenthal
297,331,Lotzwil
298,332,Madiswil
299,333,Melchnau
300,334,Obersteckholz
301,335,Oeschenbach
302,336,Reisiswil
303,337,Roggwil (BE)
304,338,Rohrbach
305,339,Rohrbachgraben
306,340,Rütschelen
307,341,Schwarzhäusern
308,342,Thunstetten
309,344,Ursenbach
310,345,Wynau
311,953,Eriswil
312,954,Huttwil
313,959,Walterswil (BE)
314,960,Wyssachen
315,971,Attiswil
316,972,Berken
317,973,Bettenhausen
318,975,Farnern
319,976,Graben
320,977,Heimenhausen
321,978,Hermiswil
322,979,Herzogenbuchsee
323,980,Inkwil
