Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
101,50,77,40,80,68,74,49,60,46,27,25,61,55,54,83,85,90,97,79,164,133,174,197,184,209,282,273,319,262,244,209,214,242,195,267,ZH,Affoltern,1,Zürich
102,31,7,38,43,48,23,20,36,20,26,8,21,22,43,30,46,23,40,20,64,68,93,99,83,78,74,84,126,115,75,95,89,50,64,86,ZH,Andelfingen,1,Zürich
103,205,235,172,264,294,197,183,176,127,130,107,208,320,349,429,513,475,566,553,763,749,818,864,911,857,983,886,1008,1078,910,732,835,786,813,909,ZH,Bülach,1,Zürich
104,101,125,126,108,145,148,111,112,91,98,69,110,135,184,246,266,242,225,252,388,325,486,406,368,414,557,463,600,556,468,401,413,415,446,558,ZH,Dielsdorf,1,Zürich
105,116,138,115,119,141,104,98,102,80,87,67,98,122,159,229,253,275,333,268,402,340,495,411,440,435,476,431,615,435,381,309,356,358,398,413,ZH,Hinwil,1,Zürich
106,254,289,204,245,300,240,199,210,145,168,147,149,251,267,354,439,349,398,375,428,503,511,653,694,578,816,778,1051,773,733,706,728,692,670,841,ZH,Horgen,1,Zürich
107,217,210,168,189,214,215,144,183,128,111,111,147,141,185,230,242,246,249,245,376,356,468,459,477,427,543,507,575,551,462,498,526,556,485,629,ZH,Meilen,1,Zürich
108,78,126,69,104,128,89,79,70,62,54,42,67,91,97,142,171,148,161,153,199,220,234,241,285,241,297,202,297,239,215,184,251,229,220,246,ZH,Pfäffikon,1,Zürich
109,292,345,197,285,327,287,224,225,153,126,125,184,304,286,392,468,396,510,342,613,637,703,686,502,557,770,551,1126,900,689,662,712,673,571,714,ZH,Uster,1,Zürich
110,276,289,232,254,299,255,181,226,164,188,137,163,334,347,490,575,504,553,656,730,932,955,1103,963,960,969,894,1244,1087,1015,838,842,731,774,880,ZH,Winterthur,1,Zürich
111,174,246,167,162,214,155,143,142,110,97,108,123,210,210,223,296,397,343,417,461,507,608,697,647,795,876,672,916,786,580,468,515,398,465,494,ZH,Dietikon,1,Zürich
112,768,567,576,905,1051,900,756,713,544,486,370,604,1091,936,1198,1453,1324,1725,1863,2285,2241,2256,2867,2655,3449,4851,3267,3279,4769,4593,2654,3051,2777,2578,3588,ZH,Zürich,1,Zürich
241,74,62,70,51,52,89,77,59,55,47,49,58,70,45,51,60,66,78,93,105,125,197,164,229,146,242,214,237,149,171,142,154,154,162,182,BE,Jura bernois,2,Bern
242,143,81,148,119,112,138,91,79,92,86,103,141,114,141,168,134,142,152,198,327,188,750,444,512,536,804,675,687,459,373,439,513,385,226,330,BE,Biel/Bienne,2,Bern
243,46,33,30,36,46,36,21,30,42,20,19,46,28,55,64,41,64,84,70,121,111,186,156,204,195,251,206,224,179,116,164,131,140,120,186,BE,Seeland,2,Bern
244,48,42,48,40,25,44,35,44,44,51,48,41,57,84,65,63,66,63,61,167,131,333,252,256,242,488,402,459,240,269,233,204,209,154,165,BE,Oberaargau,2,Bern
245,36,38,50,46,45,47,25,37,24,37,49,46,58,68,78,61,58,77,104,146,110,362,235,326,365,500,399,432,258,242,205,148,164,134,144,BE,Emmental,2,Bern
246,391,436,472,384,423,561,340,374,348,276,327,539,457,443,464,535,606,626,644,967,1156,2078,1426,1930,1730,2646,1756,1787,1357,1208,1303,1004,1072,837,1192,BE,Bern-Mittelland,2,Bern
247,44,56,52,75,60,87,57,62,59,40,49,75,72,119,83,57,76,74,115,175,132,510,306,526,428,534,409,411,194,235,227,193,216,182,225,BE,Thun,2,Bern
248,7,5,15,12,14,11,10,14,6,12,6,13,10,6,5,1,7,24,7,10,18,27,28,36,49,40,43,33,21,32,24,33,24,28,32,BE,Obersimmental-Saanen,2,Bern
