1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Gemeinde_ID,Gemeinde_Name,Kanton_ABK,Bezirk_ID,Bezirk_Name,Kanton_ID,Kanton_Name
1,0,1,3,0,6,2,2,1,0,0,1,1,1,2,0,1,0,2,2,1,1,1,0,2,3,7,10,8,4,15,6,11,8,10,1,Aeugst am Albis,ZH,101,Affoltern,1,Zürich
13,37,14,33,15,18,16,14,15,12,6,24,16,15,31,24,24,34,33,41,56,71,74,87,66,137,122,150,109,106,49,55,83,49,55,2,Affoltern am Albis,ZH,101,Affoltern,1,Zürich
8,3,2,7,8,7,0,10,4,4,3,3,5,3,10,7,8,14,3,11,13,13,14,14,21,23,22,22,31,15,24,17,17,26,18,3,Bonstetten,ZH,101,Affoltern,1,Zürich
8,1,3,4,9,1,2,6,3,2,0,3,4,4,8,13,7,5,14,10,1,28,18,0,8,13,8,16,12,10,3,20,6,3,21,4,Hausen am Albis,ZH,101,Affoltern,1,Zürich
1,6,3,4,6,2,0,2,1,1,1,4,3,3,7,8,13,4,2,16,3,9,17,16,35,20,21,31,19,37,8,16,14,9,34,5,Hedingen,ZH,101,Affoltern,1,Zürich
1,0,0,1,0,0,2,0,2,0,0,0,1,2,0,0,0,0,1,2,0,0,2,0,6,3,1,0,3,2,3,3,3,5,7,6,Kappel am Albis,ZH,101,Affoltern,1,Zürich
2,0,0,0,3,0,2,0,0,1,0,1,0,0,2,1,4,0,1,1,4,4,5,5,7,9,9,4,5,2,3,2,3,5,4,7,Knonau,ZH,101,Affoltern,1,Zürich
1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,1,8,0,3,8,Maschwanden,ZH,101,Affoltern,1,Zürich
0,9,6,2,1,1,5,3,2,2,3,5,5,4,1,7,5,8,3,20,9,7,13,16,6,37,3,9,16,10,16,12,26,19,20,9,Mettmenstetten,ZH,101,Affoltern,1,Zürich
5,7,9,10,11,15,5,9,2,2,1,7,2,9,11,7,7,8,7,17,29,12,22,22,27,17,33,39,14,23,19,32,21,27,25,10,Obfelden,ZH,101,Affoltern,1,Zürich
0,3,0,3,4,6,1,2,0,1,2,1,6,1,3,4,7,7,2,11,2,7,6,3,9,3,11,2,6,7,12,9,10,10,10,11,Ottenbach,ZH,101,Affoltern,1,Zürich
0,1,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,4,2,1,1,3,4,1,1,12,Rifferswil,ZH,101,Affoltern,1,Zürich
1,5,1,5,0,8,0,4,5,0,1,3,3,7,0,1,9,5,1,16,4,10,10,3,10,10,15,12,17,15,23,20,14,16,22,13,Stallikon,ZH,101,Affoltern,1,Zürich
