1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_Name,Kanton_ABK,Kanton_ID
1120815.0,1123840.0,1127659.0,1124690.0,1126848.0,1128248.0,1131484.0,1136566.0,1141494.0,1144899.0,1143249.0,1151718.0,1158077.0,1162083.0,1168567.0,1175457.0,1178848.0,1181614.0,1187609.0,1198569.0,1209672.0,1226931.0,1241312.0,1249893.0,1261810.0,1272590.0,1284052.0,1307567.0,1332727.0,1351297.0,1373068.0,1392396.0,1408575.0,1425538.0,1446354.0,Zürich,ZH,1
897296.0,900987.0,904420.0,906070.0,907551.0,908799.0,911266.0,914516.0,918201.0,922884.0,927497.0,934639.0,938052.0,941075.0,941673.0,941879.0,940928.0,938647.0,941144.0,943427.0,944024.0,946310.0,949590.0,951957.0,955378.0,957064.0,958897.0,962982.0,969299.0,974235.0,979802.0,985046.0,992617.0,1001281.0,1009418.0,Bern / Berne,BE,2
294421.0,296378.0,298597.0,300237.0,302245.0,303901.0,306132.0,308741.0,311761.0,314837.0,321424.0,326283.0,331830.0,335385.0,337941.0,340536.0,341809.0,342916.0,343254.0,345357.0,346473.0,350017.0,351889.0,353175.0,354731.0,356384.0,359110.0,363475.0,368742.0,372964.0,377610.0,381966.0,386082.0,390349.0,394604.0,Luzern,LU,3
33523.0,33471.0,33595.0,33552.0,33589.0,33517.0,33456.0,33435.0,33544.0,33511.0,35029.0,35363.0,35544.0,35727.0,35933.0,35876.0,35861.0,35769.0,35612.0,35487.0,35190.0,34992.0,35209.0,35118.0,35083.0,35087.0,34948.0,34989.0,35162.0,35335.0,35422.0,35382.0,35693.0,35865.0,36008.0,Uri,UR,4
96597.0,97519.0,98566.0,99834.0,100875.0,102063.0,103358.0,104634.0,106409.0,108063.0,111075.0,113553.0,116090.0,118528.0,120576.0,122409.0,123788.0,125149.0,126479.0,128248.0,128855.0,131264.0,133227.0,134903.0,135989.0,137522.0,138832.0,141024.0,143719.0,144686.0,146730.0,147904.0,149830.0,151396.0,152759.0,Schwyz,SZ,5
25731.0,26191.0,26569.0,26813.0,27046.0,27330.0,27594.0,27749.0,27896.0,28323.0,29017.0,29712.0,30247.0,30837.0,30958.0,31310.0,31440.0,31831.0,31989.0,32225.0,32356.0,32678.0,32961.0,33142.0,33162.0,33269.0,33755.0,33997.0,34429.0,35032.0,35585.0,35885.0,36115.0,36507.0,36834.0,Obwalden,OW,6
28321.0,28888.0,29278.0,29765.0,30153.0,30601.0,31041.0,31347.0,31619.0,32030.0,33678.0,34344.0,34866.0,35393.0,35983.0,36466.0,36794.0,37232.0,37320.0,37657.0,37810.0,38389.0,38736.0,39070.0,39497.0,39803.0,40012.0,40287.0,40737.0,40794.0,41024.0,41311.0,41584.0,41888.0,42080.0,Nidwalden,NW,7
36138.0,36249.0,36196.0,36240.0,36423.0,36419.0,36580.0,36674.0,36953.0,37253.0,38200.0,38720.0,38976.0,39138.0,39388.0,39410.0,39161.0,38735.0,38698.0,38708.0,38196.0,38216.0,38322.0,38502.0,38317.0,38173.0,38084.0,38237.0,38370.0,38479.0,38608.0,39217.0,39369.0,39593.0,39794.0,Glarus,GL,8
75677.0,76348.0,77184.0,77864.0,78978.0,80273.0,81634.0,82790.0,83419.0,84009.0,84412.0,85882.0,87065.0,88583.0,90412.0,92392.0,93737.0,95098.0,96517.0,97758.0,99714.0,101022.0,102407.0,103642.0,105244.0,106496.0,107171.0,109141.0,110384.0,110890.0,113105.0,115104.0,116575.0,118118.0,120089.0,Zug,ZG,9
184497.0,185901.0,187597.0,188882.0,190394.0,192440.0,194645.0,197175.0,200166.0,204328.0,206674.0,210783.0,214555.0,218704.0,222227.0,224552.0,227866.0,229947.0,232086.0,234307.0,237044.0,240339.0,243400.0,246656.0,250377.0,253954.0,258252.0,263241.0,268537.0,273159.0,278493.0,284668.0,291395.0,297622.0,303377.0,Fribourg / Freiburg,FR,10
