1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_Name,Kanton_ABK,Kanton_ID
2562,2654,2104,2758,3229,2687,2187,2255,1670,1598,1316,1935,3076,3117,4046,4807,4469,5200,5223,6873,7011,7801,8683,8209,9000,11494,9008,11156,11551,10365,7756,8532,7907,7679,9625,Zürich,ZH,1
846,817,930,810,824,1086,705,747,718,620,694,1012,921,987,1031,978,1128,1249,1349,2111,2037,4720,3182,4255,3937,5802,4301,4499,3030,2753,2886,2525,2545,1976,2619,Bern / Berne,BE,2
372,464,300,337,325,434,285,352,260,256,231,466,521,396,473,965,862,705,765,1254,753,1596,1219,1266,1242,1640,1572,1692,1793,1941,1867,1695,1442,1481,1530,Luzern,LU,3
9,6,18,9,31,31,37,20,10,12,28,22,29,17,23,25,20,43,44,56,64,79,81,48,106,57,88,100,80,53,73,27,99,60,65,Uri,UR,4
89,76,97,74,86,78,101,68,122,94,87,111,122,132,141,125,118,151,126,204,207,266,215,120,395,458,460,533,593,461,515,403,532,419,402,Schwyz,SZ,5
6,30,41,25,21,16,22,20,21,30,25,18,19,18,42,13,24,39,28,38,71,123,70,99,74,56,113,68,131,149,87,90,98,70,54,Obwalden,OW,6
45,41,32,58,41,17,37,14,30,19,28,27,45,67,74,43,41,79,65,104,75,94,154,130,109,75,92,88,118,93,65,66,74,61,57,Nidwalden,NW,7
63,54,36,45,42,56,37,52,51,24,51,35,39,40,59,141,97,121,96,92,129,231,173,158,239,292,291,215,129,191,97,82,77,92,76,Glarus,GL,8
148,155,161,136,237,199,144,153,129,108,114,156,169,132,235,292,228,206,173,300,466,448,470,492,643,494,536,522,513,637,437,429,515,636,506,Zug,ZG,9
275,185,207,172,233,277,234,352,325,146,179,297,238,338,714,443,507,490,433,560,727,819,1023,884,715,675,844,1176,734,763,686,703,924,665,1137,Fribourg / Freiburg,FR,10
344,342,263,248,268,300,234,213,162,189,177,239,179,213,350,522,358,393,299,537,368,516,461,456,787,576,671,597,982,642,2057,786,1196,728,697,Solothurn,SO,11
251,480,645,535,777,582,393,376,223,255,307,318,492,498,568,691,837,975,502,983,1124,1443,1248,1272,1268,1121,2049,1828,1203,920,875,863,1002,1040,981,Basel-Stadt,BS,12
603,666,656,517,600,648,436,309,403,275,279,329,353,301,449,581,583,558,494,712,757,933,1171,1351,1321,1179,1118,1250,1075,1062,1041,756,776,773,765,Basel-Landschaft,BL,13
190,177,181,154,172,160,131,121,123,96,97,163,175,237,160,228,284,210,220,324,384,301,367,348,223,311,322,344,470,436,380,251,298,366,352,Schaffhausen,SH,14
69,48,75,66,49,70,86,81,42,69,39,61,47,51,51,64,101,90,82,96,275,255,281,229,480,226,183,165,154,132,145,149,105,88,99,Appenzell Ausserrhoden,AR,15
3,13,11,7,8,6,11,3,18,11,11,12,8,15,21,4,2,12,27,20,43,40,46,38,47,46,19,30,26,37,28,21,13,25,36,Appenzell Innerrhoden,AI,16
746,705,612,578,680,571,579,527,475,427,510,616,635,595,763,969,677,1002,1112,1136,1416,1726,1695,1791,2395,2037,2593,2310,1895,2513,1795,1696,1476,1872,1812,St. Gallen,SG,17
284,259,240,218,234,234,182,233,133,143,165,177,240,229,299,381,306,354,285,301,343,529,1099,1077,562,480,375,576,539,497,451,487,413,438,574,Graubünden / Grigioni / Grischun,GR,18
819,979,1048,800,958,971,759,754,622,552,584,780,704,768,1627,1363,1535,1171,1325,1796,1280,2262,2124,2184,1918,3664,2395,2994,2011,2450,1822,1916,2517,2240,3125,Aargau,AG,19
378,339,329,280,385,363,283,262,240,160,237,308,289,392,362,278,599,511,526,713,440,980,822,943,1054,1046,929,824,887,698,728,717,710,784,821,Thurgau,TG,20
1856,1204,799,966,1353,1366,1325,858,1071,798,914,1011,1014,961,981,1281,1140,1482,2076,2403,1667,2633,1973,1930,1509,1918,2559,2419,2189,1576,1853,1668,2187,2036,1738,Ticino,TI,21
1359,963,1120,1033,1327,1457,1332,964,996,899,1048,1094,1378,1406,1537,1603,1806,2220,1242,2245,2339,4174,2818,2994,4107,4279,5950,5630,5923,4578,4200,4421,4797,4410,4646,Vaud,VD,22
413,240,257,242,260,353,237,301,258,209,195,302,350,380,284,462,381,508,359,536,541,594,646,617,649,939,895,727,1211,1671,1987,1686,1614,1501,1713,Valais / Wallis,VS,23
404,344,265,307,313,361,311,357,278,276,224,271,302,348,362,577,554,665,675,484,653,651,940,898,1117,1121,1218,667,2146,1454,842,1039,818,1015,955,Neuchâtel,NE,24
2036,1411,1326,1391,1853,1965,2178,1877,1874,1305,1131,1299,1461,2012,2064,2235,2415,2719,2745,4715,4244,3026,4259,3745,4232,6489,5083,3693,3916,3042,3120,2271,1734,2197,6093,Genève,GE,25
129,71,78,84,87,128,104,87,88,87,86,74,92,89,74,88,97,124,92,107,169,275,204,151,308,236,225,262,141,200,219,221,192,184,211,Jura,JU,26
