1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_Name,Kanton_ABK,Kanton_ID
938303.0,937908.0,938859.0,937551.0,939975.0,941702.0,943295.0,944201.0,944287.0,942558.0,933191.0,932357.0,930576.0,929501.0,928909.0,929406.0,930884.0,932481.0,936093.0,941082.0,948582.0,957271.0,965615.0,972210.0,979665.0,987385.0,998574.0,1007725.0,1019182.0,1031109.0,1042311.0,1050188.0,1057472.0,1064112.0,1073065.0,Zürich,ZH,1
830246.0,832510.0,834861.0,836579.0,837728.0,838638.0,840026.0,841168.0,842393.0,843916.0,841556.0,842787.0,842858.0,841828.0,839157.0,836935.0,834693.0,831688.0,832936.0,832850.0,833078.0,831659.0,833706.0,834863.0,836955.0,838352.0,841188.0,843052.0,845650.0,847153.0,848100.0,850232.0,853602.0,855740.0,857915.0,Bern / Berne,BE,2
270013.0,271029.0,272627.0,273878.0,275286.0,276255.0,277665.0,279155.0,280799.0,282515.0,285945.0,287471.0,289479.0,290069.0,290609.0,291281.0,292045.0,292677.0,292925.0,293981.0,295025.0,296685.0,297833.0,298986.0,300195.0,301580.0,303662.0,306207.0,309007.0,311967.0,314720.0,317823.0,320628.0,323029.0,325336.0,Luzern,LU,3
31640.0,31532.0,31506.0,31580.0,31582.0,31494.0,31425.0,31419.0,31450.0,31358.0,32754.0,32905.0,32893.0,32903.0,32893.0,32693.0,32657.0,32631.0,32609.0,32526.0,32354.0,32236.0,32348.0,32252.0,32149.0,32118.0,31989.0,31943.0,31945.0,32005.0,31971.0,31907.0,31938.0,31887.0,31864.0,Uri,UR,4
88214.0,88817.0,89487.0,90538.0,91397.0,92375.0,93450.0,94385.0,95563.0,96702.0,98535.0,99591.0,100546.0,101494.0,102416.0,103609.0,104856.0,106042.0,107239.0,108573.0,109372.0,110890.0,112264.0,113388.0,113921.0,114851.0,115781.0,116762.0,118044.0,118574.0,119389.0,120013.0,120856.0,121710.0,122299.0,Schwyz,SZ,5
24136.0,24493.0,24819.0,25098.0,25333.0,25568.0,25825.0,25982.0,26101.0,26416.0,26966.0,27355.0,27658.0,27858.0,27794.0,28046.0,28212.0,28438.0,28608.0,28741.0,28898.0,29135.0,29359.0,29423.0,29450.0,29504.0,29781.0,29954.0,30153.0,30524.0,30821.0,30969.0,31131.0,31414.0,31609.0,Obwalden,OW,6
26882.0,27461.0,27799.0,28240.0,28634.0,29040.0,29381.0,29619.0,29854.0,30223.0,31697.0,32117.0,32296.0,32602.0,32965.0,33197.0,33475.0,33805.0,33862.0,34115.0,34320.0,34766.0,35057.0,35394.0,35760.0,36041.0,36153.0,36241.0,36434.0,36415.0,36353.0,36441.0,36398.0,36410.0,36363.0,Nidwalden,NW,7
30367.0,30354.0,30186.0,30270.0,30352.0,30305.0,30349.0,30344.0,30510.0,30620.0,31298.0,31399.0,31413.0,31272.0,31293.0,31222.0,31171.0,30948.0,31029.0,31034.0,30631.0,30571.0,30680.0,30716.0,30548.0,30579.0,30678.0,30923.0,30940.0,30866.0,30731.0,30842.0,30795.0,30795.0,30798.0,Glarus,GL,8
65552.0,65947.0,66546.0,67121.0,68007.0,69083.0,70174.0,70932.0,71230.0,71448.0,71197.0,71921.0,72358.0,72974.0,73706.0,75094.0,76255.0,77409.0,78442.0,79140.0,80533.0,81228.0,82105.0,82916.0,83832.0,84597.0,84765.0,85144.0,85097.0,85007.0,86327.0,86748.0,87120.0,87575.0,88446.0,Zug,ZG,9
170916.0,171910.0,173250.0,174483.0,175675.0,177245.0,178919.0,180560.0,182548.0,184797.0,185098.0,186820.0,188616.0,190477.0,192416.0,194366.0,196616.0,198428.0,199953.0,201451.0,204010.0,206190.0,207660.0,209613.0,212076.0,214262.0,217140.0,219403.0,222471.0,224802.0,227664.0,230339.0,233105.0,235799.0,238449.0,Fribourg / Freiburg,FR,10
191075.0,191523.0,191556.0,191804.0,192215.0,192677.0,193167.0,193474.0,194060.0,195363.0,199083.0,199893.0,200782.0,201041.0,201278.0,201990.0,202745.0,203053.0,204461.0,204140.0,203688.0,203621.0,203592.0,203343.0,203234.0,203314.0,203302.0,203342.0,203509.0,203859.0,204849.0,206325.0,207443.0,208257.0,208749.0,Solothurn,SO,11
168165.0,166018.0,164429.0,162840.0,161134.0,159739.0,157962.0,155754.0,153398.0,151669.0,152154.0,151400.0,150140.0,149290.0,147773.0,145941.0,144375.0,142279.0,140242.0,137824.0,136609.0,134825.0,133730.0,132755.0,131998.0,130792.0,129234.0,129121.0,129290.0,128716.0,124865.0,124589.0,124497.0,124478.0,124274.0,Basel-Stadt,BS,12
200948.0,201835.0,203230.0,204721.0,206165.0,207852.0,208875.0,209887.0,210447.0,210855.0,212377.0,212378.0,212265.0,212469.0,212388.0,212637.0,213431.0,214354.0,214972.0,215581.0,216039.0,215765.0,216436.0,217423.0,218223.0,218793.0,219545.0,220426.0,220967.0,221119.0,221413.0,221306.0,220923.0,221006.0,221378.0,Basel-Landschaft,BL,13
58351.0,58586.0,58693.0,58787.0,58899.0,59033.0,59126.0,59276.0,59440.0,59691.0,59869.0,59905.0,60064.0,60037.0,60007.0,59761.0,59490.0,59469.0,59424.0,59105.0,58619.0,58673.0,58843.0,58718.0,58496.0,58308.0,58216.0,58204.0,58291.0,58358.0,58705.0,58950.0,59199.0,59350.0,59542.0,Schaffhausen,SH,14
41946.0,42259.0,42590.0,42924.0,43141.0,43419.0,43565.0,43938.0,44349.0,44778.0,45098.0,45414.0,45923.0,46254.0,46371.0,46213.0,46301.0,46300.0,46240.0,46170.0,46000.0,45873.0,45840.0,45861.0,45841.0,45908.0,45909.0,45695.0,45775.0,45693.0,45504.0,45608.0,45602.0,45645.0,45763.0,Appenzell Ausserrhoden,AR,15
11860.0,11890.0,11979.0,12039.0,12062.0,12141.0,12188.0,12199.0,12322.0,12382.0,12973.0,13023.0,13154.0,13192.0,13241.0,13234.0,13300.0,13355.0,13350.0,13409.0,13463.0,13462.0,13498.0,13544.0,13567.0,13768.0,13870.0,13961.0,13984.0,14112.0,14120.0,14153.0,14137.0,14124.0,14169.0,Appenzell Innerrhoden,AI,16
339999.0,340993.0,342547.0,344275.0,345949.0,347764.0,349258.0,350810.0,352288.0,354042.0,356569.0,358292.0,359209.0,359730.0,360231.0,360144.0,360571.0,359948.0,359936.0,360930.0,362740.0,363290.0,364206.0,364655.0,365276.0,366306.0,367092.0,368476.0,369971.0,371609.0,374368.0,376226.0,377489.0,379074.0,380500.0,St. Gallen,SG,17
145424.0,146592.0,147180.0,147823.0,148630.0,149217.0,149833.0,150479.0,150894.0,151602.0,155174.0,156071.0,157096.0,157911.0,158463.0,159279.0,160304.0,160167.0,161142.0,161234.0,161600.0,161015.0,160604.0,161141.0,161591.0,161151.0,160833.0,160754.0,160840.0,160928.0,160517.0,160504.0,160390.0,160440.0,160497.0,Graubünden / Grigioni / Grischun,GR,18
