"Erwerb des Schweizer Bürgerrechts nach institutionellen Gliederungen, Geschlecht und (ehemalige) Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"(ehemalige) Staatsangehörigkeit";Erwerb des Schweizer Bürgerrechts
"2011";"Schweiz";"Mann";"Staatsangehörigkeit - Total";16823
"2011";"Schweiz";"Frau";"Staatsangehörigkeit - Total";19189
"2011";"- Zürich";"Mann";"Staatsangehörigkeit - Total";3731
"2011";"- Zürich";"Frau";"Staatsangehörigkeit - Total";4025
"2011";">> Bezirk Affoltern";"Mann";"Staatsangehörigkeit - Total";97
"2011";">> Bezirk Affoltern";"Frau";"Staatsangehörigkeit - Total";112
"2011";"......0001 Aeugst am Albis";"Mann";"Staatsangehörigkeit - Total";7
"2011";"......0001 Aeugst am Albis";"Frau";"Staatsangehörigkeit - Total";8
"2011";"......0002 Affoltern am Albis";"Mann";"Staatsangehörigkeit - Total";19
"2011";"......0002 Affoltern am Albis";"Frau";"Staatsangehörigkeit - Total";30
"2011";"......0003 Bonstetten";"Mann";"Staatsangehörigkeit - Total";13
"2011";"......0003 Bonstetten";"Frau";"Staatsangehörigkeit - Total";11
"2011";"......0004 Hausen am Albis";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0004 Hausen am Albis";"Frau";"Staatsangehörigkeit - Total";1
"2011";"......0005 Hedingen";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0005 Hedingen";"Frau";"Staatsangehörigkeit - Total";6
"2011";"......0006 Kappel am Albis";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0006 Kappel am Albis";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0007 Knonau";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0007 Knonau";"Frau";"Staatsangehörigkeit - Total";1
"2011";"......0008 Maschwanden";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0008 Maschwanden";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0009 Mettmenstetten";"Mann";"Staatsangehörigkeit - Total";5
"2011";"......0009 Mettmenstetten";"Frau";"Staatsangehörigkeit - Total";11
"2011";"......0010 Obfelden";"Mann";"Staatsangehörigkeit - Total";15
"2011";"......0010 Obfelden";"Frau";"Staatsangehörigkeit - Total";4
"2011";"......0011 Ottenbach";"Mann";"Staatsangehörigkeit - Total";4
"2011";"......0011 Ottenbach";"Frau";"Staatsangehörigkeit - Total";8
"2011";"......0012 Rifferswil";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0012 Rifferswil";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0013 Stallikon";"Mann";"Staatsangehörigkeit - Total";7
"2011";"......0013 Stallikon";"Frau";"Staatsangehörigkeit - Total";16
"2011";"......0014 Wettswil am Albis";"Mann";"Staatsangehörigkeit - Total";19
"2011";"......0014 Wettswil am Albis";"Frau";"Staatsangehörigkeit - Total";14
"2011";">> Bezirk Andelfingen";"Mann";"Staatsangehörigkeit - Total";47
"2011";">> Bezirk Andelfingen";"Frau";"Staatsangehörigkeit - Total";48
"2011";"......0021 Adlikon";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0021 Adlikon";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0022 Benken (ZH)";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0022 Benken (ZH)";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0023 Berg am Irchel";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0023 Berg am Irchel";"Frau";"Staatsangehörigkeit - Total";1
"2011";"......0024 Buch am Irchel";"Mann";"Staatsangehörigkeit - Total";3
"2011";"......0024 Buch am Irchel";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0025 Dachsen";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0025 Dachsen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0026 Dorf";"Mann";"Staatsangehörigkeit - Total";6
"2011";"......0026 Dorf";"Frau";"Staatsangehörigkeit - Total";4
"2011";"......0027 Feuerthalen";"Mann";"Staatsangehörigkeit - Total";6
"2011";"......0027 Feuerthalen";"Frau";"Staatsangehörigkeit - Total";8
"2011";"......0028 Flaach";"Mann";"Staatsangehörigkeit - Total";3
"2011";"......0028 Flaach";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0029 Flurlingen";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0029 Flurlingen";"Frau";"Staatsangehörigkeit - Total";4
"2011";"......0030 Andelfingen";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0030 Andelfingen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0031 Henggart";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0031 Henggart";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0032 Humlikon";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0032 Humlikon";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0033 Kleinandelfingen";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0033 Kleinandelfingen";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0034 Laufen-Uhwiesen";"Mann";"Staatsangehörigkeit - Total";3
"2011";"......0034 Laufen-Uhwiesen";"Frau";"Staatsangehörigkeit - Total";5
"2011";"......0035 Marthalen";"Mann";"Staatsangehörigkeit - Total";4
"2011";"......0035 Marthalen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0036 Oberstammheim";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0036 Oberstammheim";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0037 Ossingen";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0037 Ossingen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0038 Rheinau";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0038 Rheinau";"Frau";"Staatsangehörigkeit - Total";1
"2011";"......0039 Thalheim an der Thur";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0039 Thalheim an der Thur";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0040 Trüllikon";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0040 Trüllikon";"Frau";"Staatsangehörigkeit - Total";1
"2011";"......0041 Truttikon";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0041 Truttikon";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0042 Unterstammheim";"Mann";"Staatsangehörigkeit - Total";5
"2011";"......0042 Unterstammheim";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0043 Volken";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0043 Volken";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0044 Waltalingen";"Mann";"Staatsangehörigkeit - Total";1
"2011";"......0044 Waltalingen";"Frau";"Staatsangehörigkeit - Total";1
"2011";">> Bezirk Bülach";"Mann";"Staatsangehörigkeit - Total";345
"2011";">> Bezirk Bülach";"Frau";"Staatsangehörigkeit - Total";387
"2011";"......0051 Bachenbülach";"Mann";"Staatsangehörigkeit - Total";8
"2011";"......0051 Bachenbülach";"Frau";"Staatsangehörigkeit - Total";12
"2011";"......0052 Bassersdorf";"Mann";"Staatsangehörigkeit - Total";35
"2011";"......0052 Bassersdorf";"Frau";"Staatsangehörigkeit - Total";36
"2011";"......0053 Bülach";"Mann";"Staatsangehörigkeit - Total";50
"2011";"......0053 Bülach";"Frau";"Staatsangehörigkeit - Total";57
"2011";"......0054 Dietlikon";"Mann";"Staatsangehörigkeit - Total";23
"2011";"......0054 Dietlikon";"Frau";"Staatsangehörigkeit - Total";25
"2011";"......0055 Eglisau";"Mann";"Staatsangehörigkeit - Total";5
"2011";"......0055 Eglisau";"Frau";"Staatsangehörigkeit - Total";6
"2011";"......0056 Embrach";"Mann";"Staatsangehörigkeit - Total";17
"2011";"......0056 Embrach";"Frau";"Staatsangehörigkeit - Total";17
"2011";"......0057 Freienstein-Teufen";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0057 Freienstein-Teufen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0058 Glattfelden";"Mann";"Staatsangehörigkeit - Total";8
"2011";"......0058 Glattfelden";"Frau";"Staatsangehörigkeit - Total";11
"2011";"......0059 Hochfelden";"Mann";"Staatsangehörigkeit - Total";2
"2011";"......0059 Hochfelden";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0060 Höri";"Mann";"Staatsangehörigkeit - Total";4
"2011";"......0060 Höri";"Frau";"Staatsangehörigkeit - Total";10
"2011";"......0061 Hüntwangen";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0061 Hüntwangen";"Frau";"Staatsangehörigkeit - Total";2
"2011";"......0062 Kloten";"Mann";"Staatsangehörigkeit - Total";46
"2011";"......0062 Kloten";"Frau";"Staatsangehörigkeit - Total";46
"2011";"......0063 Lufingen";"Mann";"Staatsangehörigkeit - Total";4
"2011";"......0063 Lufingen";"Frau";"Staatsangehörigkeit - Total";3
"2011";"......0064 Nürensdorf";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0064 Nürensdorf";"Frau";"Staatsangehörigkeit - Total";8
"2011";"......0065 Oberembrach";"Mann";"Staatsangehörigkeit - Total";0
"2011";"......0065 Oberembrach";"Frau";"Staatsangehörigkeit - Total";0
"2011";"......0066 Opfikon";"Mann";"Staatsangehörigkeit - Total";83
"2011";"......0066 Opfikon";"Frau";"Staatsangehörigkeit - Total";64
"2011";"......0067 Rafz";"Mann";"Staatsangehörigkeit - Total";11
"2011";"......0067 Rafz";"Frau";"Staatsangehörigkeit - Total";9
