"Erwerb des Schweizer Bürgerrechts nach institutionellen Gliederungen, Geschlecht und (ehemalige) Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"(ehemalige) Staatsangehörigkeit";Erwerb des Schweizer Bürgerrechts
"2012";"Schweiz";"Geschlecht - Total";"Schweiz";0
"2012";"Schweiz";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";15065
"2012";"Schweiz";"Geschlecht - Total";"Mitgliedstaat der EFTA";35
"2012";"Schweiz";"Geschlecht - Total";"Anderer europäischer Staat";10678
"2012";"Schweiz";"Geschlecht - Total";"Afrika";2417
"2012";"Schweiz";"Geschlecht - Total";"Nordamerika";443
"2012";"Schweiz";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";1407
"2012";"Schweiz";"Geschlecht - Total";"Asien";3349
"2012";"Schweiz";"Geschlecht - Total";"Ozeanien";64
"2012";"Schweiz";"Geschlecht - Total";"Staatenlos";13
"2012";"Schweiz";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"Schweiz";"Geschlecht - Total";"Ohne Angabe";29
"2012";"- Zürich";"Geschlecht - Total";"Schweiz";0
"2012";"- Zürich";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";3690
"2012";"- Zürich";"Geschlecht - Total";"Mitgliedstaat der EFTA";18
"2012";"- Zürich";"Geschlecht - Total";"Anderer europäischer Staat";2928
"2012";"- Zürich";"Geschlecht - Total";"Afrika";404
"2012";"- Zürich";"Geschlecht - Total";"Nordamerika";136
"2012";"- Zürich";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";333
"2012";"- Zürich";"Geschlecht - Total";"Asien";980
"2012";"- Zürich";"Geschlecht - Total";"Ozeanien";33
"2012";"- Zürich";"Geschlecht - Total";"Staatenlos";2
"2012";"- Zürich";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"- Zürich";"Geschlecht - Total";"Ohne Angabe";8
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Schweiz";0
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";113
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Mitgliedstaat der EFTA";1
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Anderer europäischer Staat";71
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Afrika";4
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Nordamerika";1
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";5
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Asien";17
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Ozeanien";2
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Staatenlos";0
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";">> Bezirk Affoltern";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Schweiz";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";3
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Mitgliedstaat der EFTA";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Anderer europäischer Staat";3
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Afrika";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Nordamerika";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Asien";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Ozeanien";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Staatenlos";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"......0001 Aeugst am Albis";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Schweiz";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";19
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Mitgliedstaat der EFTA";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Anderer europäischer Staat";29
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Afrika";1
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Nordamerika";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";2
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Asien";2
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Ozeanien";2
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Staatenlos";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"......0002 Affoltern am Albis";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Schweiz";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";14
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Mitgliedstaat der EFTA";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Anderer europäischer Staat";1
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Afrika";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Nordamerika";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";1
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Asien";1
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Ozeanien";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Staatenlos";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"......0003 Bonstetten";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Schweiz";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";10
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Mitgliedstaat der EFTA";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Anderer europäischer Staat";8
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Afrika";1
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Nordamerika";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Asien";1
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Ozeanien";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Staatenlos";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"......0004 Hausen am Albis";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Schweiz";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Mitgliedstaat der Europäischen Union (EU)";8
"2012";"......0005 Hedingen";"Geschlecht - Total";"Mitgliedstaat der EFTA";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Anderer europäischer Staat";6
"2012";"......0005 Hedingen";"Geschlecht - Total";"Afrika";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Nordamerika";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Süd- und Zentralamerika, Karibik";1
"2012";"......0005 Hedingen";"Geschlecht - Total";"Asien";1
"2012";"......0005 Hedingen";"Geschlecht - Total";"Ozeanien";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Staatenlos";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Nicht zuteilbar gemäss den aktuellen Grenzen";0
"2012";"......0005 Hedingen";"Geschlecht - Total";"Ohne Angabe";0
"2012";"......0006 Kappel am Albis";"Geschlecht - Total";"Schweiz";0
