"Erwerb des Schweizer Bürgerrechts nach institutionellen Gliederungen, Geschlecht und (ehemalige) Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Geschlecht";"(ehemalige) Staatsangehörigkeit";Erwerb des Schweizer Bürgerrechts
"2011";"Schweiz";"Geschlecht - Total";"Staatsangehörigkeit - Total";36012
"2011";"- Zürich";"Geschlecht - Total";"Staatsangehörigkeit - Total";7756
"2011";">> Bezirk Affoltern";"Geschlecht - Total";"Staatsangehörigkeit - Total";209
"2011";"......0001 Aeugst am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";15
"2011";"......0002 Affoltern am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";49
"2011";"......0003 Bonstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";24
"2011";"......0004 Hausen am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0005 Hedingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";8
"2011";"......0006 Kappel am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0007 Knonau";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0008 Maschwanden";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0009 Mettmenstetten";"Geschlecht - Total";"Staatsangehörigkeit - Total";16
"2011";"......0010 Obfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";19
"2011";"......0011 Ottenbach";"Geschlecht - Total";"Staatsangehörigkeit - Total";12
"2011";"......0012 Rifferswil";"Geschlecht - Total";"Staatsangehörigkeit - Total";1
"2011";"......0013 Stallikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";23
"2011";"......0014 Wettswil am Albis";"Geschlecht - Total";"Staatsangehörigkeit - Total";33
"2011";">> Bezirk Andelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";95
"2011";"......0021 Adlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";2
"2011";"......0022 Benken (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0023 Berg am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";1
"2011";"......0024 Buch am Irchel";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0025 Dachsen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0026 Dorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";10
"2011";"......0027 Feuerthalen";"Geschlecht - Total";"Staatsangehörigkeit - Total";14
"2011";"......0028 Flaach";"Geschlecht - Total";"Staatsangehörigkeit - Total";6
"2011";"......0029 Flurlingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0030 Andelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0031 Henggart";"Geschlecht - Total";"Staatsangehörigkeit - Total";4
"2011";"......0032 Humlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";1
"2011";"......0033 Kleinandelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0034 Laufen-Uhwiesen";"Geschlecht - Total";"Staatsangehörigkeit - Total";8
"2011";"......0035 Marthalen";"Geschlecht - Total";"Staatsangehörigkeit - Total";7
"2011";"......0036 Oberstammheim";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0037 Ossingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0038 Rheinau";"Geschlecht - Total";"Staatsangehörigkeit - Total";2
"2011";"......0039 Thalheim an der Thur";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0040 Trüllikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";1
"2011";"......0041 Truttikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";4
"2011";"......0042 Unterstammheim";"Geschlecht - Total";"Staatsangehörigkeit - Total";7
"2011";"......0043 Volken";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0044 Waltalingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";2
"2011";">> Bezirk Bülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";732
"2011";"......0051 Bachenbülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";20
"2011";"......0052 Bassersdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";71
"2011";"......0053 Bülach";"Geschlecht - Total";"Staatsangehörigkeit - Total";107
"2011";"......0054 Dietlikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";48
"2011";"......0055 Eglisau";"Geschlecht - Total";"Staatsangehörigkeit - Total";11
"2011";"......0056 Embrach";"Geschlecht - Total";"Staatsangehörigkeit - Total";34
"2011";"......0057 Freienstein-Teufen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0058 Glattfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";19
"2011";"......0059 Hochfelden";"Geschlecht - Total";"Staatsangehörigkeit - Total";4
"2011";"......0060 Höri";"Geschlecht - Total";"Staatsangehörigkeit - Total";14
"2011";"......0061 Hüntwangen";"Geschlecht - Total";"Staatsangehörigkeit - Total";2
"2011";"......0062 Kloten";"Geschlecht - Total";"Staatsangehörigkeit - Total";92
"2011";"......0063 Lufingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";7
"2011";"......0064 Nürensdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";8
"2011";"......0065 Oberembrach";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0066 Opfikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";147
"2011";"......0067 Rafz";"Geschlecht - Total";"Staatsangehörigkeit - Total";20
"2011";"......0068 Rorbas";"Geschlecht - Total";"Staatsangehörigkeit - Total";4
"2011";"......0069 Wallisellen";"Geschlecht - Total";"Staatsangehörigkeit - Total";102
"2011";"......0070 Wasterkingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0071 Wil (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0072 Winkel";"Geschlecht - Total";"Staatsangehörigkeit - Total";14
"2011";">> Bezirk Dielsdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";401
"2011";"......0081 Bachs";"Geschlecht - Total";"Staatsangehörigkeit - Total";1
"2011";"......0082 Boppelsen";"Geschlecht - Total";"Staatsangehörigkeit - Total";5
"2011";"......0083 Buchs (ZH)";"Geschlecht - Total";"Staatsangehörigkeit - Total";18
"2011";"......0084 Dällikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";22
"2011";"......0085 Dänikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";15
"2011";"......0086 Dielsdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";19
"2011";"......0087 Hüttikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0088 Neerach";"Geschlecht - Total";"Staatsangehörigkeit - Total";7
"2011";"......0089 Niederglatt";"Geschlecht - Total";"Staatsangehörigkeit - Total";16
"2011";"......0090 Niederhasli";"Geschlecht - Total";"Staatsangehörigkeit - Total";66
"2011";"......0091 Niederweningen";"Geschlecht - Total";"Staatsangehörigkeit - Total";10
"2011";"......0092 Oberglatt";"Geschlecht - Total";"Staatsangehörigkeit - Total";37
"2011";"......0093 Oberweningen";"Geschlecht - Total";"Staatsangehörigkeit - Total";8
"2011";"......0094 Otelfingen";"Geschlecht - Total";"Staatsangehörigkeit - Total";7
"2011";"......0095 Regensberg";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0096 Regensdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";103
"2011";"......0097 Rümlang";"Geschlecht - Total";"Staatsangehörigkeit - Total";38
"2011";"......0098 Schleinikon";"Geschlecht - Total";"Staatsangehörigkeit - Total";0
"2011";"......0099 Schöfflisdorf";"Geschlecht - Total";"Staatsangehörigkeit - Total";3
"2011";"......0100 Stadel";"Geschlecht - Total";"Staatsangehörigkeit - Total";2
