date,value
2013-01-15,1.228
2013-02-15,1.2298
2013-03-15,1.2264
2013-04-15,1.2198
2013-05-15,1.2406
2013-06-15,1.2326
2013-07-15,1.2364
2013-08-15,1.2334
2013-09-15,1.2338
2013-10-15,1.2314
2013-11-15,1.2319
2013-12-15,1.2249
2014-01-15,1.2312
2014-02-15,1.2213
2014-03-15,1.2178
2014-04-15,1.2191
2014-05-15,1.2204
2014-06-15,1.2181
2014-07-15,1.215
2014-08-15,1.2119
2014-09-15,1.2077
2014-10-15,1.2078
2014-11-15,1.2026
2014-12-15,1.2024
2015-01-15,1.0983
2015-02-15,1.0623
2015-03-15,1.0609
2015-04-15,1.0382
2015-05-15,1.0398
2015-06-15,1.0448
2015-07-15,1.0488
2015-08-15,1.0782
2015-09-15,1.0918
2015-10-15,1.0879
2015-11-15,1.083
2015-12-15,1.083
2016-01-15,1.0932
2016-02-15,1.1018
2016-03-15,1.0921
2016-04-15,1.0931
2016-05-15,1.1054
2016-06-15,1.0901
2016-07-15,1.0867
2016-08-15,1.0876
2016-09-15,1.0922
2016-10-15,1.0883
2016-11-15,1.0759
2016-12-15,1.0754
2017-01-15,1.0713
2017-02-15,1.0659
2017-03-15,1.0706
2017-04-15,1.0723
2017-05-15,1.0897
2017-06-15,1.0875
2017-07-15,1.1054
