date,value
2013-01-15,-0.3
2013-02-15,-0.3
2013-03-15,-0.6
2013-04-15,-0.6
2013-05-15,-0.5
2013-06-15,-0.1
2013-07-15,0.0
2013-08-15,0.0
2013-09-15,-0.1
2013-10-15,-0.3
2013-11-15,0.1
2013-12-15,0.1
2014-01-15,0.1
2014-02-15,-0.1
2014-03-15,0.0
2014-04-15,0.0
2014-05-15,0.2
2014-06-15,0.0
2014-07-15,0.0
2014-08-15,0.1
2014-09-15,-0.1
2014-10-15,0.0
2014-11-15,-0.1
2014-12-15,-0.3
2015-01-15,-0.5
2015-02-15,-0.8
2015-03-15,-0.9
2015-04-15,-1.1
2015-05-15,-1.2
2015-06-15,-1.0
2015-07-15,-1.3
2015-08-15,-1.4
2015-09-15,-1.4
2015-10-15,-1.4
2015-11-15,-1.4
2015-12-15,-1.3
2016-01-15,-1.3
2016-02-15,-0.8
2016-03-15,-0.9
2016-04-15,-0.4
2016-05-15,-0.4
2016-06-15,-0.4
2016-07-15,-0.2
2016-08-15,-0.1
2016-09-15,-0.2
2016-10-15,-0.2
2016-11-15,-0.3
2016-12-15,0.0
2017-01-15,0.3
2017-02-15,0.6
2017-03-15,0.6
2017-04-15,0.4
2017-05-15,0.5
2017-06-15,0.2
2017-07-15,0.3
