date,EURCHF
2013-01,1.228
2013-02,1.2298
2013-03,1.2264
2013-04,1.2198
2013-05,1.2406
2013-06,1.2326
2013-07,1.2364
2013-08,1.2334
2013-09,1.2338
2013-10,1.2314
2013-11,1.2319
2013-12,1.2249
2014-01,1.2312
2014-02,1.2213
2014-03,1.2178
2014-04,1.2191
2014-05,1.2204
2014-06,1.2181
2014-07,1.215
2014-08,1.2119
2014-09,1.2077
2014-10,1.2078
2014-11,1.2026
2014-12,1.2024
2015-01,1.0983
2015-02,1.0623
2015-03,1.0609
2015-04,1.0382
2015-05,1.0398
2015-06,1.0448
2015-07,1.0488
2015-08,1.0782
2015-09,1.0918
2015-10,1.0879
2015-11,1.083
2015-12,1.083
2016-01,1.0932
2016-02,1.1018
2016-03,1.0921
2016-04,1.0931
2016-05,1.1054
2016-06,1.0901
2016-07,1.0867
2016-08,1.0876
2016-09,1.0922
2016-10,1.0883
2016-11,1.0759
2016-12,1.0754
2017-01,1.0713
2017-02,1.0659
2017-03,1.0706
2017-04,1.0723
2017-05,1.0897
2017-06,1.0875
2017-07,1.1054
