Kanton_ABK,Kanton_ID,Kanton_Name,Kanton_Name2
ZH,1,Zürich,Zürich
BE,2,Bern,Bern / Berne
LU,3,Luzern,Luzern
UR,4,Uri,Uri
SZ,5,Schwyz,Schwyz
OW,6,Obwalden,Obwalden
NW,7,Nidwalden,Nidwalden
GL,8,Glarus,Glarus
ZG,9,Zug,Zug
FR,10,Fribourg,Fribourg / Freiburg
SO,11,Solothurn,Solothurn
BS,12,Basel-Stadt,Basel-Stadt
BL,13,Baselland,Basel-Landschaft
SH,14,Schaffhausen,Schaffhausen
AR,15,Appenzell Ausserrhoden,Appenzell Ausserrhoden
AI,16,Appenzell Innerrhoden,Appenzell Innerrhoden
SG,17,St. Gallen,St. Gallen
GR,18,Graubünden,Graubünden / Grigioni / Grischun
AG,19,Aargau,Aargau
TG,20,Thurgau,Thurgau
TI,21,Tessin,Ticino
VD,22,Waadt,Vaud
VS,23,Wallis,Valais / Wallis
NE,24,Neuenburg,Neuchâtel
GE,25,Genf,Genève
JU,26,Jura,Jura
