BDP/PBD,CSP/PCS,CVP/PDC,EDU/UDF,EVP/PEV,FDP/PLR (PRD),FGA/AVF,FPS/PSL,GLP/PVL,GPS/PES,LPS/PLS,LdU/AdI,Lega,MCR,POCH,PSA,PdA/PST,Rep./Rép.,SD/DS,SP/PS,SVP/UDC,Sep./Sép.,Sol.,Übrige/Autres,Nummer,Einheit
25462,0,24001,12761,23005,95805,0,0,52977,35023,0,0,0,0,0,0,969,0,849,112705,206032,0,0,17606,000101,>> Bezirk Affoltern
25498,0,10296,14184,15674,53384,0,0,28946,23243,0,0,0,0,0,0,381,0,587,56914,168419,0,0,10266,000102,>> Bezirk Andelfingen
54980,0,45767,41679,43190,166762,0,0,86976,52798,0,0,0,0,0,0,1322,0,2489,214071,484392,0,0,32510,000103,>> Bezirk Bülach
27421,0,24914,29245,17713,91925,0,0,47394,32870,0,0,0,0,0,0,545,0,1898,116523,348366,0,0,17151,000104,>> Bezirk Dielsdorf
42880,0,42896,48174,49708,117184,0,0,65855,57640,0,0,0,0,0,0,1242,0,1535,148996,368075,0,0,25024,000105,>> Bezirk Hinwil
44731,0,88751,17124,37482,243585,0,0,98253,69557,0,0,0,0,0,0,1727,0,1775,228164,393713,0,0,33547,000106,>> Bezirk Horgen
35735,0,51462,21038,27075,333514,0,0,100691,61421,0,0,0,0,0,0,1211,0,1597,202060,395968,0,0,30416,000107,>> Bezirk Meilen
32321,0,20442,23429,34474,82473,0,0,48932,37991,0,0,0,0,0,0,800,0,1110,106357,260528,0,0,15221,000108,>> Bezirk Pfäffikon
67444,0,49311,25585,32577,188319,0,0,116924,68928,0,0,0,0,0,0,2211,0,2166,232638,420635,0,0,33811,000109,>> Bezirk Uster
78596,0,67987,39891,92055,229916,0,0,157410,132759,0,0,0,0,0,0,4352,0,3080,399733,551963,0,0,87115,000110,>> Bezirk Winterthur
23134,0,46853,6933,16148,112900,0,0,45975,28525,0,0,0,0,0,0,778,0,1491,122027,252621,0,0,20824,000111,>> Bezirk Dietikon
81425,0,150518,26921,75261,566436,0,0,365103,425416,0,0,0,0,0,0,20211,0,7658,1246212,719401,0,0,295356,000112,>> Bezirk Zürich
687,0,545,1201,910,4906,0,0,2214,1857,0,0,0,0,0,0,44,0,82,4894,8118,0,0,789,0001,...... Aeugst am Albis
18394,0,9219,11359,13348,28980,0,0,7595,22193,0,0,0,0,0,0,6845,0,1873,85318,120673,0,0,3555,000241,>> Arrondissement administratif Jura bernois
59858,0,10683,8860,20906,69136,0,0,35294,63249,0,0,0,0,0,0,3853,0,2772,160292,172116,0,0,10297,000242,>> Verwaltungskreis Biel/Bienne
99818,0,8531,11223,24945,52270,0,0,32665,34427,0,0,0,0,0,0,1984,0,4856,101015,236213,0,0,9423,000243,>> Verwaltungskreis Seeland
85881,0,8643,21049,27830,65879,0,0,30596,32764,0,0,0,0,0,0,1225,0,3297,99673,254001,0,0,9892,000244,>> Verwaltungskreis Oberaargau
130805,0,10881,34274,38825,56815,0,0,42225,51155,0,0,0,0,0,0,2919,0,3554,127116,352438,0,0,14143,000245,>> Verwaltungskreis Emmental
418621,0,87471,71459,147458,399355,0,0,274970,413203,0,0,0,0,0,0,24977,0,14081,896070,941741,0,0,66029,000246,>> Verwaltungskreis Bern-Mittelland
107727,0,17025,41485,61115,75719,0,0,56627,72415,0,0,0,0,0,0,2100,0,4493,147089,385648,0,0,16980,000247,>> Verwaltungskreis Thun
15953,0,930,6010,3360,15060,0,0,7728,4547,0,0,0,0,0,0,271,0,409,9709,92357,0,0,2063,000248,>> Verwaltungskreis Obersimmental-Saanen
44085,0,3617,30929,27445,24230,0,0,23498,19031,0,0,0,0,0,0,823,0,1605,43679,186126,0,0,6338,000249,>> Verwaltungskreis Frutigen-Niedersimmental
50636,0,4029,12738,12817,31468,0,0,15204,33625,0,0,0,0,0,0,715,0,2010,57041,165732,0,0,7004,000250,>> Verwaltungskreis Interlaken-Oberhasli
4470,0,4922,1693,5866,15271,0,0,7898,6667,0,0,0,0,0,0,204,0,205,20481,36266,0,0,3398,0002,...... Affoltern am Albis
3593,0,36463,0,1825,39906,0,0,22602,34585,0,0,0,0,0,0,0,0,212,66801,50671,0,0,2693,000311,>> Wahlkreis Luzern-Stadt
4736,0,59576,0,2313,62929,0,0,21572,24771,0,0,0,0,0,0,0,0,285,48218,94514,0,0,2620,000312,>> Wahlkreis Luzern-Land
3371,0,53563,0,1481,35917,0,0,10480,11510,0,0,0,0,0,0,0,0,260,24445,71580,0,0,1229,000313,>> Wahlkreis Hochdorf
3428,0,74993,0,1487,54566,0,0,14364,14109,0,0,0,0,0,0,0,0,162,24099,72502,0,0,1292,000314,>> Wahlkreis Sursee
