Einheit,Geschieden,Ledig,Verheiratet,Wervitwet
- Aargau,50715,276123,296940,29873
- Appenzell Ausserrhoden,4496,23055,24117,2875
- Appenzell Innerrhoden,814,7338,6971,851
- Basel-Landschaft,22994,113105,131580,15539
- Basel-Stadt,18693,89611,72481,11023
- Bern / Berne,84364,437186,439372,56513
- Fribourg / Freiburg,23511,138940,131592,13403
- Genève,46072,224586,193557,20496
- Glarus,3066,16607,18015,2338
- Graubünden / Grigioni / Grischun,14957,83298,87623,10724
- Jura,5786,31049,31408,4538
- Luzern,26541,181455,172144,18613
- Neuchâtel,17812,77637,72766,9890
- Nidwalden,3176,18392,18905,1946
- Obwalden,2311,16432,16562,1771
- Schaffhausen,6819,32404,35972,4638
- Schwyz,11639,66828,68701,6920
- Solothurn,22767,110681,118459,14499
- St. Gallen,39145,215628,219912,24365
- Thurgau,22240,113225,119530,12428
- Ticino,28986,146039,155489,21428
- Uri,1751,15323,16871,2027
- Valais / Wallis,26205,142216,149122,18131
- Vaud,65726,353300,319635,34632
- Zug,9147,53320,54888,4774
- Zürich,125889,666873,610396,63173
......0001 Aeugst am Albis,147,852,908,74
......0002 Affoltern am Albis,1004,5000,5159,545
......0003 Bonstetten,383,2336,2452,154
......0004 Hausen am Albis,317,1433,1596,131
......0005 Hedingen,294,1559,1690,117
......0006 Kappel am Albis,81,454,460,38
......0007 Knonau,161,897,970,69
......0008 Maschwanden,44,292,279,26
......0009 Mettmenstetten,355,2016,2168,130
......0010 Obfelden,332,2091,2401,185
......0011 Ottenbach,242,1031,1209,87
......0012 Rifferswil,77,461,486,33
......0013 Stallikon,275,1410,1678,92
......0014 Wettswil am Albis,364,1953,2409,194
......0021 Adlikon,44,271,317,30
......0022 Benken (ZH),87,359,378,36
......0023 Berg am Irchel,48,213,291,21
......0024 Buch am Irchel,69,435,437,25
......0025 Dachsen,137,810,967,74
......0026 Dorf,29,243,337,15
......0027 Feuerthalen,286,1497,1597,187
......0028 Flaach,82,567,635,74
......0029 Flurlingen,103,626,638,71
......0030 Andelfingen,150,937,995,88
......0031 Henggart,150,934,1088,76
......0032 Humlikon,21,208,257,18
......0033 Kleinandelfingen,172,846,985,79
......0034 Laufen-Uhwiesen,117,622,809,85
......0035 Marthalen,164,814,904,74
......0036 Oberstammheim,88,482,545,59
......0037 Ossingen,123,589,656,58
......0038 Rheinau,126,515,611,69
......0039 Thalheim an der Thur,78,407,396,23
......0040 Trüllikon,76,393,496,50
......0041 Truttikon,32,194,226,21
......0042 Unterstammheim,69,411,408,38
......0043 Volken,14,148,164,13
......0044 Waltalingen,53,254,335,36
......0051 Bachenbülach,342,1648,1867,176
......0052 Bassersdorf,951,4963,5277,389
......0053 Bülach,1628,8504,8456,804
......0054 Dietlikon,647,3178,3450,350
......0055 Eglisau,332,2078,2436,178
......0056 Embrach,775,3849,4166,349
......0057 Freienstein-Teufen,183,907,1142,72
......0058 Glattfelden,400,2153,2224,178
......0059 Hochfelden,129,822,978,65
......0060 Höri,206,1066,1259,114
......0061 Hüntwangen,84,385,509,36
......0062 Kloten,1947,7935,7743,825
......0063 Lufingen,149,879,979,64
......0064 Nürensdorf,494,2121,2612,240
......0065 Oberembrach,87,463,486,43
......0066 Opfikon,1575,8653,7741,643
......0067 Rafz,306,1779,2084,175
......0068 Rorbas,207,1215,1238,83
......0069 Wallisellen,1295,6909,6798,659
......0070 Wasterkingen,51,211,282,29
......0071 Wil (ZH),97,540,676,67
......0072 Winkel,391,1711,1978,166
......0081 Bachs,45,216,302,22
......0082 Boppelsen,80,561,633,49
......0083 Buchs (ZH),547,2777,2796,174
......0084 Dällikon,342,1630,1843,137
......0085 Dänikon,147,767,928,48
......0086 Dielsdorf,516,2444,2721,240
......0087 Hüttikon,60,345,446,30
......0088 Neerach,301,1151,1477,118
......0089 Niederglatt,435,2016,2124,193
......0090 Niederhasli,780,3869,4141,309
......0091 Niederweningen,206,1217,1348,82
......0092 Oberglatt,597,3173,2869,179
......0093 Oberweningen,145,731,871,52
......0094 Otelfingen,198,1183,1303,100
......0095 Regensberg,51,185,213,19
......0096 Regensdorf,1576,7595,8090,772
......0097 Rümlang,700,3327,3411,335
......0098 Schleinikon,59,323,309,31
......0099 Schöfflisdorf,122,528,678,68
......0100 Stadel,213,923,980,89
......0101 Steinmaur,286,1444,1514,151
......0102 Weiach,142,551,621,65
......0111 Bäretswil,420,2090,2272,192
......0112 Bubikon,545,2932,3274,268
......0113 Dürnten,594,3129,3416,282
......0114 Fischenthal,188,1071,1070,91
......0115 Gossau (ZH),804,3980,4581,391
......0116 Grüningen,327,1404,1508,132
......0117 Hinwil,915,4464,4928,541
......0118 Rüti (ZH),1059,5131,5245,612
......0119 Seegräben,96,637,664,35
......0120 Wald (ZH),759,3943,4276,468
......0121 Wetzikon (ZH),2118,10802,10382,1104
......0131 Adliswil,1505,7928,8302,870
......0132 Hirzel,127,909,1013,99
......0133 Horgen,1659,8444,9100,1002
......0134 Hütten,69,403,387,39
......0135 Kilchberg (ZH),669,3581,3438,407
......0136 Langnau am Albis,584,2980,3496,392
......0137 Oberrieden,443,2024,2287,283
......0138 Richterswil,1133,5618,5917,529
......0139 Rüschlikon,442,2384,2567,280
......0140 Schönenberg (ZH),123,753,899,89
......0141 Thalwil,1522,7759,7685,777
......0142 Wädenswil,1956,9176,9463,1026
......0151 Erlenbach (ZH),427,2337,2458,248
......0152 Herrliberg,496,2571,2928,299
......0153 Hombrechtikon,727,3486,3842,430
......0154 Küsnacht (ZH),1166,5651,6158,855
......0155 Männedorf,906,4395,4793,499
......0156 Meilen,1163,5509,6114,744
......0157 Oetwil am See,411,2022,2088,147
......0158 Stäfa,1295,5685,6499,699
......0159 Uetikon am See,471,2446,2791,280
......0160 Zumikon,431,1971,2480,290
......0161 Zollikon,1132,5343,5534,743
......0172 Fehraltorf,561,2621,2905,220
......0173 Hittnau,274,1565,1659,116
......0174 Illnau-Effretikon,1455,6780,7343,748
......0175 Kyburg,38,175,173,21
......0176 Lindau,395,2164,2608,216
......0177 Pfäffikon,987,4768,5131,567
......0178 Russikon,331,1693,2083,185
......0180 Weisslingen,249,1316,1566,130
......0181 Wila,184,798,857,92
......0182 Wildberg,93,412,455,46
......0191 Dübendorf,2477,11914,11280,1171
......0192 Egg,786,3364,3855,383
......0193 Fällanden,789,3581,3658,326
......0194 Greifensee,464,2266,2440,204
......0195 Maur,845,4052,4596,396
......0196 Mönchaltorf,351,1433,1740,153
......0197 Schwerzenbach,433,2207,2161,200
......0198 Uster,2973,15031,14490,1392
......0199 Volketswil,1611,7796,8500,628
......0200 Wangen-Brüttisellen,656,3286,3550,234
......0211 Altikon,46,259,326,24
......0213 Brütten,164,826,945,81
......0214 Dägerlen,55,438,493,28
......0215 Dättlikon,41,302,372,30
......0216 Dinhard,95,569,759,71
......0217 Elgg,371,1739,1893,215
......0218 Ellikon an der Thur,51,355,446,33
......0219 Elsau,250,1384,1684,161
......0220 Hagenbuch,94,475,512,22
......0221 Hettlingen,182,1310,1500,122
......0222 Hofstetten (ZH),33,214,215,19
......0223 Neftenbach,418,2346,2558,191
......0224 Pfungen,304,1638,1707,108
......0225 Rickenbach (ZH),190,1062,1229,117
......0226 Schlatt (ZH),45,319,340,34
......0227 Seuzach,612,2780,3411,408
......0228 Turbenthal,391,1809,2086,186
......0230 Winterthur,9195,50910,43225,4931
......0231 Zell (ZH),485,2331,2627,257
......0241 Aesch (ZH),92,482,565,58
......0242 Birmensdorf (ZH),489,2653,2841,271
......0243 Dietikon,2205,11629,11732,1145
......0244 Geroldswil,469,1958,2239,202
......0245 Oberengstringen,668,2712,2821,371
......0246 Oetwil an der Limmat,249,939,1057,124
......0247 Schlieren,1472,8136,8086,755
......0248 Uitikon,321,1600,1990,201
......0249 Unterengstringen,337,1468,1670,173
......0250 Urdorf,830,4074,4368,416
......0251 Weiningen (ZH),417,1868,2060,168
......0261 Zürich,35685,210175,134084,16993
......0297 Bauma,382,1988,2256,215
......0298 Wiesendangen,399,2460,3058,309
......0301 Aarberg,340,1989,1972,228
......0302 Bargen (BE),71,389,476,59
......0303 Grossaffoltern,201,1239,1410,149
......0304 Kallnach,137,754,907,107
......0305 Kappelen,90,597,605,58
......0306 Lyss,1309,6175,6173,684
......0307 Meikirch,204,908,1130,144
......0309 Radelfingen,78,572,541,65
......0310 Rapperswil (BE),156,987,1137,145
......0311 Schüpfen,290,1633,1635,161
......0312 Seedorf (BE),209,1243,1397,153
......0321 Aarwangen,394,1746,2055,213
......0322 Auswil,34,204,203,30
......0323 Bannwil,59,296,310,34
......0324 Bleienbach,45,252,342,38
......0325 Busswil bei Melchnau,12,58,91,9
......0326 Gondiswil,29,308,352,48
......0329 Langenthal,1312,6730,6472,933
......0331 Lotzwil,206,1052,1124,132
......0332 Madiswil,197,1332,1501,188
......0333 Melchnau,108,604,743,102
......0334 Obersteckholz,19,164,194,33
......0335 Oeschenbach,8,94,120,19
......0336 Reisiswil,8,78,94,8
......0337 Roggwil (BE),344,1514,1837,233
......0338 Rohrbach,90,591,626,106
......0339 Rohrbachgraben,10,167,194,23
......0340 Rütschelen,43,222,262,44
......0341 Schwarzhäusern,38,196,243,24
......0342 Thunstetten,269,1305,1524,160
......0344 Ursenbach,56,400,411,44
......0345 Wynau,120,618,784,98
......0351 Bern,11872,69328,43882,6464
......0352 Bolligen,418,2295,3061,364
......0353 Bremgarten bei Bern,309,1774,2077,224
......0354 Kirchlindach,225,1168,1354,153
......0355 Köniz,3382,17584,17144,2101
......0356 Muri bei Bern,1140,5036,5915,893
......0357 Oberbalm,38,389,411,45
......0358 Stettlen,253,1334,1435,126
......0359 Vechigen,332,2140,2512,268
......0360 Wohlen bei Bern,712,3363,4430,481
......0361 Zollikofen,872,4152,4583,610
......0362 Ittigen,1070,4741,4929,650
......0363 Ostermundigen,1600,7085,7116,987
......0371 Biel/Bienne,6061,24855,20065,3179
......0372 Evilard,208,977,1215,152
......0381 Arch,140,599,712,89
......0382 Büetigen,55,338,400,40
......0383 Büren an der Aare,306,1500,1532,199
......0385 Diessbach bei Büren,58,443,452,43
......0386 Dotzigen,118,557,732,48
......0387 Lengnau (BE),461,1831,2355,309
......0388 Leuzigen,113,504,561,73
......0389 Meienried,3,16,33,0
......0390 Meinisberg,105,533,625,65
......0391 Oberwil bei Büren,60,314,407,49
......0392 Pieterlen,361,1639,1829,204
......0393 Rüti bei Büren,76,333,382,49
......0394 Wengi,41,255,284,29
......0401 Aefligen,93,420,490,64
......0402 Alchenstorf,33,252,289,28
......0403 Bäriswil,84,367,522,50
......0404 Burgdorf,1371,7118,6789,950
......0405 Ersigen,119,680,809,79
......0406 Hasle bei Burgdorf,242,1457,1464,190
......0407 Heimiswil,88,667,750,102
......0408 Hellsau,13,81,101,6
......0409 Hindelbank,190,1057,1065,102
......0410 Höchstetten,11,107,134,18
......0411 Kernenried,39,212,250,26
......0412 Kirchberg (BE),485,2390,2641,300
......0413 Koppigen,156,856,1007,107
......0414 Krauchthal,172,938,1107,118
......0415 Lyssach,116,586,650,70
......0416 Mötschwil,10,59,58,10
......0417 Niederösch,8,99,115,13
......0418 Oberburg,178,1265,1320,146
......0419 Oberösch,6,43,51,4
......0420 Rüdtligen-Alchenflüh,193,1031,1115,96
......0421 Rumendingen,7,40,37,0
......0422 Rüti bei Lyssach,7,80,75,9
......0423 Willadingen,17,75,101,10
......0424 Wynigen,122,814,955,120
......0431 Corgémont,129,688,748,112
......0432 Cormoret,39,190,233,20
......0433 Cortébert,59,298,318,35
