Bezirk_ID,Bis 14’999,15’000-19’999,20’000-29’999,30’000-39’999,40’000-49’999,50’000-74999,75’000 und mehr,Bezirk_Name
101,129,373,1746,2173,2511,5712,9222,Affoltern
102,78,248,1120,1431,1759,3511,4909,Andelfingen
103,481,1087,5016,6534,7910,18153,22126,Bülach
104,261,632,3040,3929,4778,10699,13078,Dielsdorf
105,260,808,3944,5183,5824,11651,12227,Hinwil
106,480,944,4547,5491,6276,14033,24339,Horgen
107,377,756,3290,3916,4347,10000,23696,Meilen
108,160,482,2263,2993,3422,7357,9063,Pfäffikon
109,385,1009,4479,5701,7067,16309,21862,Uster
110,490,1408,6649,8571,9943,21173,22896,Winterthur
111,283,726,3511,4220,4997,10840,12309,Dietikon
112,1921,4994,19416,21122,22650,51211,66578,Zürich
241,88,473,2442,2970,2860,4888,3991,Jura bernois
242,188,781,3895,5314,5929,10871,9142,Biel/Bienne
243,120,591,2954,4362,4839,9136,8263,Seeland
244,156,775,3937,5415,5680,9542,6910,Oberaargau
245,174,1041,4776,6795,6863,10708,8266,Emmental
246,725,3088,15865,22275,25684,51636,55066,Bern-Mittelland
247,184,956,4758,7230,7763,14018,11367,Thun
248,44,228,962,1209,1090,1768,1569,Obersimmental-Saanen
249,63,329,1507,2079,2097,3406,2558,Frutigen-Niedersimmental
250,117,532,2637,3595,3515,5825,4080,Interlaken-Oberhasli
311,268,1021,4294,5140,6133,11968,10762,Luzern-Stadt
312,434,898,4002,5263,6099,12139,13883,Luzern-Land
313,184,652,2936,3903,4687,8442,7371,Hochdorf
314,138,633,2863,3826,4426,8294,8205,Sursee
315,104,557,2467,3458,3621,5832,4198,Willisau
316,178,304,1335,1658,1492,2073,1353,Entlebuch
400,238,379,1641,2220,2422,4700,3203,Kt. Uri
501,66,154,694,888,995,1736,1912,Einsiedeln
502,56,32,95,149,131,261,240,Gersau
503,138,193,932,1074,1305,2852,7615,Höfe
504,56,106,452,631,729,1526,2275,Küssnacht (SZ)
505,121,379,1711,2228,2570,4986,6421,March
506,298,542,2514,3293,3514,6310,5846,Schwyz
600,621,400,1740,2246,2547,4508,4132,Kt. Obwalden
700,257,412,1860,2390,2798,5408,6556,Kt. Nidwalden
800,371,431,2127,2607,2729,4972,3810,Kt. Glarus
900,342,913,3931,5023,6050,13692,24576,Kt. Zug
1001,129,256,1314,1548,1600,3286,3002,La Broye
1002,61,218,1052,1171,1156,2276,2068,La Glâne
1003,439,548,2252,2683,2757,5576,5250,La Gruyère
1004,273,989,4185,4604,4964,10839,12362,La Sarine
1005,124,275,1379,1783,1930,3824,4573,See / Lac
1006,142,459,2052,2687,2940,5290,4555,Sense
1007,134,155,747,937,872,1788,2032,La Veveyse
1101,53,138,774,1238,1468,2767,2337,Gäu
1102,50,174,732,955,1034,1696,1312,Thal
1103,24,61,329,455,492,958,1033,Bucheggberg
1104,78,178,680,861,1013,2314,3618,Dorneck
1105,23,73,345,440,567,979,881,Gösgen
1106,112,391,1803,2468,2891,5269,4398,Wasseramt
1107,137,477,2204,2865,3203,6007,5798,Lebern
1108,164,526,2552,3213,3786,7303,6641,Olten
1109,60,234,973,1085,1302,2628,2485,Solothurn
1110,45,122,627,910,959,1813,1576,Thierstein
1200,1016,2573,10023,10542,11642,24061,28852,Kt. Basel-Stadt
1301,619,1127,4983,6390,8051,20434,29113,Arlesheim
1302,63,139,750,1003,1280,2525,2443,Laufen
1303,193,457,1970,2680,3486,7522,8565,Liestal
1304,94,252,1298,1746,2174,4482,4962,Sissach
1305,47,131,569,832,933,1877,1956,Waldenburg
1401,16,33,174,212,248,516,511,Oberklettgau
1402,25,62,334,451,494,1088,1120,Reiat
1403,218,654,2696,3371,3729,6853,6098,Schaffhausen
1404,6,43,161,195,193,334,295,Schleitheim
1405,28,67,286,335,386,644,633,Stein
1406,18,47,247,287,290,548,467,Unterklettgau
1501,165,308,1309,1594,1613,2843,2315,Hinterland
1502,116,172,787,914,1060,1921,2401,Mittelland
1503,130,162,704,863,889,1579,1425,Vorderland
1600,106,202,822,956,1057,1734,1818,Kt. Appenzell i.Rh.
1721,767,1463,6027,7235,8346,15423,13538,St. Gallen
1722,279,464,2108,2509,2760,5021,4802,Rorschach
1723,517,760,3276,4285,4864,8298,6373,Rheintal
1724,634,484,1814,2322,2672,4378,3600,Werdenberg
1725,674,458,1983,2741,2773,4649,3614,Sarganserland
1726,400,580,2792,3746,4064,7938,8236,See-Gaster
1727,387,637,2605,3222,2904,4424,3309,Toggenburg
1728,329,725,3313,4169,4750,8863,8159,Wil
1821,994,102,326,456,417,685,648,Albula
1822,45,78,316,358,283,483,318,Bernina
1823,52,74,357,440,458,862,746,Hinterrhein
1824,8,27,160,221,243,524,540,Imboden
1825,418,138,623,840,856,1387,1237,Inn
1826,69,136,753,1060,1152,2341,2227,Landquart
1827,2397,603,1003,1030,1115,2322,2972,Maloja / Maloggia
