Gemeinde_ID,Gemeinde_Name,Bis 14’999,15’000-19’999,20’000-29’999,30’000-39’999,40’000-49’999,50’000-74999,75’000 und mehr
1,  Aeugst am Albis,5,17,77,82,86,192,462
2,  Affoltern am Albis,29,98,502,629,737,1439,1515
3,  Bonstetten,8,29,131,184,192,626,1075
4,  Hausen am Albis,15,31,129,141,184,372,599
5,  Hedingen,8,22,128,132,180,376,684
6,  Kappel am Albis,1,5,39,41,57,108,157
7,  Knonau,12,16,64,80,87,215,389
8,  Maschwanden,2,7,28,33,34,86,96
9,  Mettmenstetten,9,23,140,195,217,536,839
10,  Obfelden,11,48,187,229,268,530,791
11,  Ottenbach,5,16,86,121,142,279,458
12,  Rifferswil,1,9,43,42,42,95,165
13,  Stallikon,8,19,93,106,133,362,827
14,  Wettswil am Albis,15,33,99,158,152,496,1165
21,  Adlikon,6,2,26,32,39,82,79
22,  Benken (ZH),1,11,33,48,60,101,137
23,  Berg am Irchel,2,6,24,29,45,78,91
24,  Buch am Irchel,2,3,27,41,42,92,163
25,  Dachsen,5,16,62,76,79,203,358
26,  Dorf,1,4,23,26,37,56,118
27,  Feuerthalen,15,38,142,192,224,465,515
28,  Flaach,3,6,60,70,72,156,202
29,  Flurlingen,4,14,39,72,71,163,303
30,  Andelfingen,3,23,82,101,123,238,377
31,  Henggart,5,12,64,86,122,247,400
32,  Humlikon,2,4,12,19,28,45,76
33,  Kleinandelfingen,2,17,77,91,110,222,333
34,  Laufen-Uhwiesen,4,11,47,62,82,178,317
35,  Marthalen,2,19,74,108,128,252,303
36,  Oberstammheim,1,9,49,71,75,136,146
37,  Ossingen,5,11,61,71,77,163,187
38,  Rheinau,6,15,57,43,92,152,211
39,  Thalheim an der Thur,2,1,31,49,45,129,117
40,  Trüllikon,4,7,51,40,66,124,149
41,  Truttikon,0,5,19,17,24,48,58
42,  Unterstammheim,2,6,23,40,55,72,133
43,  Volken,0,4,12,16,17,30,43
44,  Waltalingen,1,4,25,31,46,79,93
51,  Bachenbülach,16,40,107,171,212,530,654
52,  Bassersdorf,31,74,351,472,670,1531,1996
53,  Bülach,57,139,764,949,1158,2458,2673
54,  Dietlikon,17,41,259,351,413,946,1268
55,  Eglisau,22,29,144,170,233,563,872
56,  Embrach,20,82,314,455,544,1141,1283
57,  Freienstein-Teufen,7,17,94,93,114,268,393
58,  Glattfelden,16,51,181,207,248,616,691
59,  Hochfelden,5,18,59,80,105,232,353
60,  Höri,13,23,114,125,152,356,273
61,  Hüntwangen,5,4,39,33,37,101,204
62,  Kloten,87,161,755,1026,1178,2733,2522
63,  Lufingen,7,10,53,59,76,210,403
64,  Nürensdorf,16,33,165,202,259,699,1181
65,  Oberembrach,4,7,37,46,67,138,195
66,  Opfikon,54,157,611,842,992,2150,2041
67,  Rafz,25,28,143,188,211,467,663
68,  Rorbas,8,23,93,111,146,299,320
69,  Wallisellen,53,96,530,694,812,1990,2708
70,  Wasterkingen,2,9,25,29,39,73,92
71,  Wil (ZH),6,11,61,74,72,152,223
72,  Winkel,10,34,117,157,172,500,1118
81,  Bachs,3,5,31,31,40,56,100
82,  Boppelsen,4,12,23,42,46,118,314
83,  Buchs (ZH),14,41,203,252,348,863,985
84,  Dällikon,10,26,129,177,211,510,554
85,  Dänikon,9,12,49,82,86,238,312
86,  Dielsdorf,20,44,220,284,377,796,885
87,  Hüttikon,0,5,23,28,38,92,148
88,  Neerach,13,27,100,105,132,353,873
89,  Niederglatt,13,50,169,220,265,612,716
90,  Niederhasli,24,62,299,406,503,1155,1307
91,  Niederweningen,6,24,99,113,142,284,504
92,  Oberglatt,24,41,236,320,380,815,702
93,  Oberweningen,8,10,56,76,98,202,284
94,  Otelfingen,8,17,87,118,135,326,506
95,  Regensberg,1,4,10,20,19,63,111
96,  Regensdorf,62,138,694,842,1016,2171,2381
97,  Rümlang,24,48,297,367,434,951,972
98,  Schleinikon,1,5,16,42,41,78,136
99,  Schöfflisdorf,5,8,42,66,83,159,258
100,  Stadel,2,15,84,104,95,267,332
101,  Steinmaur,8,28,125,179,223,438,521
102,  Weiach,2,10,48,55,66,152,177
111,  Bäretswil,21,40,210,253,315,601,730
112,  Bubikon,10,41,237,299,340,843,1236
113,  Dürnten,18,51,301,369,409,903,959
114,  Fischenthal,7,27,111,150,112,268,209
115,  Gossau (ZH),29,77,334,508,589,1237,1560
116,  Grüningen,7,21,138,159,166,444,525
117,  Hinwil,28,112,459,613,701,1488,1484
118,  Rüti (ZH),34,115,566,746,856,1539,1302
119,  Seegräben,3,6,47,69,69,138,228
