Kanton_ABK,Bis 14’999,15’000-19’999,20’000-29’999,30’000-39’999,40’000-49’999,50’000-74999,75’000 und mehr,Kanton_ID,Kanton_Name
AG,1781,5160,24155,33933,40423,83465,90708,19,Aargau
AI,106,202,822,956,1057,1734,1818,16,Appenzell Innerrhoden
AR,411,642,2800,3371,3562,6343,6141,15,Appenzell Ausserrhoden
BE,1859,8794,43733,61244,66320,121798,111212,2,Bern
BL,1016,2106,9570,12651,15924,36840,47039,13,Baselland
BS,1016,2573,10023,10542,11642,24061,28852,12,Basel-Stadt
FR,1302,2900,12981,15413,16219,32879,33842,10,Fribourg
GE,2356,5253,19500,18403,17649,42783,70903,25,Genf
GL,371,431,2127,2607,2729,4972,3810,8,Glarus
GR,7540,2309,8306,10561,11003,20620,19069,18,Graubünden
JU,204,879,4265,4815,4595,7780,6395,26,Jura
LU,1306,4065,17897,23248,26458,48748,45772,3,Luzern
NE,566,1862,8773,9941,9982,18807,19282,24,Neuenburg
NW,257,412,1860,2390,2798,5408,6556,7,Nidwalden
OW,621,400,1740,2246,2547,4508,4132,6,Obwalden
SG,3987,5571,23918,30229,33133,58994,51631,17,St. Gallen
SH,311,906,3898,4851,5340,9983,9124,14,Schaffhausen
SO,746,2374,11019,14490,16715,31734,30079,11,Solothurn
SZ,735,1406,6398,8263,9244,17671,24309,5,Schwyz
TG,1238,2792,12283,15519,16771,31271,30218,20,Thurgau
TI,10803,6622,22128,24790,22189,42474,45920,21,Tessin
UR,238,379,1641,2220,2422,4700,3203,4,Uri
VD,6690,7524,30078,34976,35670,75114,105748,22,Waadt
VS,18319,4334,17473,20259,20494,37818,31713,23,Wallis
ZG,342,913,3931,5023,6050,13692,24576,9,Zug
ZH,5305,13467,59021,71264,81484,180649,242305,1,Zürich
