,link,text
0,/de/mmr/reference/pre_20170925/source/pre_20170925.de.pdf,Zahlungsbilanz und Auslandvermögen der Schweiz: 2. Quartal 2017
1,/de/mmr/reference/pre_20170914/source/pre_20170914.de.pdf,Geldpolitische Lagebeurteilung vom 14. September 2017
2,/de/mmr/reference/pre_20170804/source/pre_20170804.de.pdf,Umfrage zur Zahlungsmittelnutzung in der Schweiz
3,/de/mmr/reference/pre_20170731/source/pre_20170731.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2017
4,/de/mmr/reference/pre_20170629/source/pre_20170629.de.pdf,Die Banken in der Schweiz 2016
5,/de/mmr/reference/pre_20170626/source/pre_20170626.de.pdf,Zahlungsbilanz und Auslandvermögen der Schweiz: 1. Quartal 2017
6,/de/mmr/reference/pre_20170616/source/pre_20170616.de.pdf,Nationalbank publiziert Festschrift zu Ehren von Ernst Baltensperger
7,/de/mmr/reference/pre_20170615/source/pre_20170615.de.pdf,Geldpolitische Lagebeurteilung vom 15. Juni 2017
8,/de/mmr/reference/pre_20170526/source/pre_20170526.de.pdf,Tagung der Zentralbankgouverneure der französischsprachigen Länder in Montreux
9,/de/mmr/reference/pre_20170517/source/pre_20170517.de.pdf,Banknoten-App der Schweizerischen Nationalbank ergänzt
10,/de/mmr/reference/pre_20170510/source/pre_20170510.de.pdf,Nationalbank gibt neue 20-Franken-Note heraus
11,/de/mmr/reference/pre_20170427/source/pre_20170427.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 31. März 2017
12,/de/mmr/reference/pre_20170324/source/pre_20170324.de.pdf,Zahlungsbilanz und Auslandvermögen der Schweiz: 4. Quartal 2016 und Jahr 2016
13,/de/mmr/reference/pre_20170323/source/pre_20170323.de.pdf,Publikation des Geschäftsberichts 2016
14,/de/mmr/reference/pre_20170322/source/pre_20170322.de.pdf,Neue Berechnung der SNB-Wechselkursindizes
15,/de/mmr/reference/pre_20170316/source/pre_20170316.de.pdf,Geldpolitische Lagebeurteilung vom 16. März 2017
16,/de/mmr/reference/pre_20170306/source/pre_20170306.de.pdf,Jahresergebnis 2016 der Schweizerischen Nationalbank
17,/de/mmr/reference/pre_20170216/source/pre_20170216.de.pdf,Karl-Brunner-Vortragsreihe der SNB: John B. Taylor als nächster Referent
18,/de/mmr/reference/pre_20170109/source/pre_20170109.de.pdf,Nationalbank erwartet Jahresgewinn von gut 24 Mrd. Franken
19,/de/mmr/reference/pre_20161221_2/source/pre_20161221_2.de.pdf,Beförderungen bei der Schweizerischen Nationalbank
20,/de/mmr/reference/pre_20161221/source/pre_20161221.de.pdf,Zahlungsbilanz und Auslandvermögen der Schweiz: 3. Quartal 2016
21,/de/mmr/reference/pre_20161219/source/pre_20161219.de.pdf,Nationalbank erhöht Aufbau der Rückstellungen für Währungsreserven
22,/de/mmr/reference/pre_20161216/source/pre_20161216.de.pdf,Direktinvestitionen 2015
23,/de/mmr/reference/pre_20161215/source/pre_20161215.de.pdf,Geldpolitische Lagebeurteilung vom 15. Dezember 2016
24,/de/mmr/reference/pre_20161206/source/pre_20161206.de.pdf,Emissionskalender der Bundesanleihen und Geldmarktbuchforderungen für 2017
25,/de/mmr/reference/pre_20161129/source/pre_20161129.de.pdf,Finanzierungsrechnung der Schweiz 2015
26,/de/mmr/reference/pre_20161110/source/pre_20161110.de.pdf,EFD und SNB schliessen neue Vereinbarung über die Gewinnausschüttung der SNB ab
27,/de/mmr/reference/pre_20161031/source/pre_20161031.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2016
28,/de/mmr/reference/pre_20161013/source/pre_20161013.de.pdf,"""Unsere Nationalbank"" - neu auch auf Italienisch und Englisch verfügbar"
29,/de/mmr/reference/pre_20160930/source/pre_20160930.de.pdf,Roland Scheurer neuer SNB-Delegierter für Wirtschaftskontakte in der Region Mittelland
30,/de/mmr/reference/pre_20160921/source/pre_20160921.de.pdf,Zahlungsbilanz und Auslandvermögen der Schweiz: 2. Quartal 2016
31,/de/mmr/reference/pre_20160915/source/pre_20160915.de.pdf,Geldpolitische Lagebeurteilung vom 15. September 2016
32,/de/mmr/reference/pre_20160905/source/pre_20160905.de.pdf,Carl-Menger-Preis 2016
33,/de/mmr/reference/pre_20160901/source/pre_20160901.de.pdf,Umsätze auf den Devisen- und Derivatmärkten in der Schweiz - Erhebung 2016
34,/de/mmr/reference/pre_20160729/source/pre_20160729.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2016
35,/de/mmr/reference/pre_20160711/source/pre_20160711.de.pdf,Susanne Mühlemann wird neue Leiterin Kommunikation der Schweizerischen Nationalbank
36,/de/mmr/reference/pre_20160630/source/pre_20160630.de.pdf,Die Banken in der Schweiz 2015
37,/de/mmr/reference/pre_20160630_1/source/pre_20160630_1.de.pdf,Erweiterung des Datenportals der SNB
